Model selection results for subset: 76a9bc9ff24d7c226085472bc09d4c67
Subset alignment stored here: ./analysis/phylofiles/76a9bc9ff24d7c226085472bc09d4c67.phy
This subset contains the following data_blocks: (alineamiento_16S, alineamiento_WG)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -2652.16976     | 5324.33952      | 5324.57735784   | 5372.75567476  
TVM+I+G         | -2659.97293     | 5337.94586      | 5338.14024445   | 5381.52039929  
GTR+I           | -2661.01637     | 5340.03274      | 5340.22712445   | 5383.60727929  
GTR+G           | -2663.08565     | 5344.1713       | 5344.36568445   | 5387.74583929  
TVM+I           | -2668.23505     | 5352.4701       | 5352.62543981   | 5391.20302381  
TVM+G           | -2670.85255     | 5357.7051       | 5357.86043981   | 5396.43802381  
TIM+I+G         | -2672.52642     | 5361.05284      | 5361.20817981   | 5399.78576381  
K81uf+I+G       | -2679.52052     | 5373.04104      | 5373.16172966   | 5406.93234834  
TIM+I           | -2680.75518     | 5375.51036      | 5375.63104966   | 5409.40166834  
K81uf+I         | -2687.5923      | 5387.1846       | 5387.27501981   | 5416.23429286  
TIM+G           | -2684.4222      | 5382.8444       | 5382.96508966   | 5416.73570834  
K81uf+G         | -2691.88834     | 5395.77668      | 5395.86709981   | 5424.82637286  
F81+I+G         | -2708.531       | 5427.062        | 5427.12651613   | 5451.27007738  
TrN+I+G         | -2702.03646     | 5418.07292      | 5418.19360966   | 5451.96422834  
HKY+I+G         | -2706.84856     | 5425.69712      | 5425.78753981   | 5454.74681286  
F81+I           | -2715.30664     | 5438.61328      | 5438.65624455   | 5457.97974191  
TrN+I           | -2708.67272     | 5429.34544      | 5429.43585981   | 5458.39513286  
HKY+I           | -2714.26899     | 5438.53798      | 5438.60249613   | 5462.74605738  
TrN+G           | -2713.37722     | 5438.75444      | 5438.84485981   | 5467.80413286  
F81+G           | -2720.56703     | 5449.13406      | 5449.17702455   | 5468.50052191  
HKY+G           | -2719.64336     | 5449.28672      | 5449.35123613   | 5473.49479738  
SYM+I+G         | -2733.94688     | 5481.89376      | 5482.01444966   | 5515.78506834  
SYM+G           | -2744.46443     | 5500.92886      | 5501.01927981   | 5529.97855286  
SYM+I           | -2744.87869     | 5501.75738      | 5501.84779981   | 5530.80707286  
TVMef+I+G       | -2745.01865     | 5502.0373       | 5502.12771981   | 5531.08699286  
TVMef+I         | -2754.57743     | 5519.15486      | 5519.21937613   | 5543.36293738  
TVMef+G         | -2754.81883     | 5519.63766      | 5519.70217613   | 5543.84573738  
TIMef+I+G       | -2781.78916     | 5573.57832      | 5573.64283613   | 5597.78639738  
TIMef+I         | -2790.40827     | 5588.81654      | 5588.85950455   | 5608.18300191  
K81+I+G         | -2793.0764      | 5594.1528       | 5594.19576455   | 5613.51926191  
TIMef+G         | -2793.39374     | 5594.78748      | 5594.83044455   | 5614.15394191  
K81+I           | -2801.22485     | 5608.4497       | 5608.47545107   | 5622.97454643  
K81+G           | -2805.09675     | 5616.1935       | 5616.21925107   | 5630.71834643  
GTR             | -2812.69295     | 5641.3859       | 5641.54123981   | 5680.11882381  
TVM             | -2821.71109     | 5657.42218      | 5657.54286966   | 5691.31348834  
TrNef+I+G       | -2845.30356     | 5698.60712      | 5698.65008455   | 5717.97358191  
TIM             | -2839.02042     | 5690.04084      | 5690.13125981   | 5719.09053286  
JC+I+G          | -2855.03056     | 5714.06112      | 5714.07398174   | 5723.74435095  
TrNef+I         | -2851.68578     | 5709.37156      | 5709.39731107   | 5723.89640643  
JC+I            | -2861.09848     | 5724.19696      | 5724.20124266   | 5729.03857548  
TrNef+G         | -2854.51175     | 5715.0235       | 5715.04925107   | 5729.54834643  
K80+I+G         | -2854.97248     | 5715.94496      | 5715.97071107   | 5730.46980643  
K81uf           | -2848.37656     | 5706.75312      | 5706.81763613   | 5730.96119738  
K80+I           | -2860.939       | 5725.878        | 5725.89086174   | 5735.56123095  
JC+G            | -2864.8479      | 5731.6958       | 5731.70008266   | 5736.53741548  
K80+G           | -2864.67645     | 5733.3529       | 5733.36576174   | 5743.03613095  
TrN             | -2876.12215     | 5762.2443       | 5762.30881613   | 5786.45237738  
F81             | -2885.33316     | 5776.66632      | 5776.69207107   | 5791.19116643  
HKY             | -2885.20502     | 5778.41004      | 5778.45300455   | 5797.77650191  
SYM             | -2886.13391     | 5782.26782      | 5782.33233613   | 5806.47589738  
TVMef           | -2900.40709     | 5808.81418      | 5808.85714455   | 5828.18064191  
TIMef           | -2944.38149     | 5894.76298      | 5894.78873107   | 5909.28782643  
K81             | -2959.14134     | 5922.28268      | 5922.29554174   | 5931.96591095  
TrNef           | -3001.38103     | 6006.76206      | 6006.77492174   | 6016.44529095  
JC              | -3015.77633     | 6031.55266      | 6031.55266      | 6031.55266     
K80             | -3015.56561     | 6033.13122      | 6033.13550266   | 6037.97283548  
