Model selection results for subset: 7897896b9935d443eab735b03e76add3
Subset alignment stored here: ./analysis/phylofiles/7897896b9935d443eab735b03e76add3.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_16S_p1, alineamiento_CYTB_p2, alineamiento_16S_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -2154.56427     | 4327.12854      | 4327.39840507   | 4367.78758146  
GTR+I+G         | -2153.23368     | 4326.46736      | 4326.79769033   | 4371.64407273  
GTR+I           | -2157.63527     | 4333.27054      | 4333.54040507   | 4373.92958146  
HKY+G           | -2180.23847     | 4370.47694      | 4370.56635878   | 4393.06529636  
F81+G           | -2183.61753     | 4375.23506      | 4375.29458381   | 4393.30574509  
HKY+I+G         | -2177.7994      | 4367.5988       | 4367.72417313   | 4394.70482764  
F81+I+G         | -2181.60604     | 4373.21208      | 4373.30149878   | 4395.80043636  
F81+I           | -2186.80788     | 4381.61576      | 4381.67528381   | 4399.68644509  
HKY+I           | -2183.9494      | 4377.8988       | 4377.98821878   | 4400.48715636  
GTR             | -2273.73913     | 4563.47826      | 4563.69382886   | 4599.61963018  
SYM+G           | -2300.47211     | 4612.94422      | 4613.06959313   | 4640.05024764  
SYM+I+G         | -2298.13758     | 4610.27516      | 4610.44257405   | 4641.89885891  
F81             | -2314.42085     | 4634.8417       | 4634.87736122   | 4648.39471382  
SYM+I           | -2304.87181     | 4621.74362      | 4621.86899313   | 4648.84964764  
HKY             | -2313.53975     | 4635.0795       | 4635.13902381   | 4653.15018509  
JC+G            | -2418.90353     | 4839.80706      | 4839.81298593   | 4844.32473127  
JC+I+G          | -2416.88816     | 4837.77632      | 4837.79412415   | 4846.81166255  
K80+G           | -2417.35985     | 4838.7197       | 4838.73750415   | 4847.75504255  
JC+I            | -2421.99648     | 4845.99296      | 4845.99888593   | 4850.51063127  
K80+I+G         | -2415.54246     | 4837.08492      | 4837.12058122   | 4850.63793382  
SYM             | -2409.14839     | 4828.29678      | 4828.38619878   | 4850.88513636  
K80+I           | -2420.32847     | 4844.65694      | 4844.67474415   | 4853.69228255  
JC              | -2533.17128     | 5066.34256      | 5066.34256      | 5066.34256     
K80             | -2531.31712     | 5064.63424      | 5064.64016593   | 5069.15191127  
