Model selection results for subset: 78d65b6a04ebaa8fcc3f895adb2cf7fc
Subset alignment stored here: ./analysis/phylofiles/78d65b6a04ebaa8fcc3f895adb2cf7fc.phy
This subset contains the following data_blocks: (alineamiento_WG_p2, alineamiento_16S_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -829.07759      | 1678.15518      | 1678.88607701   | 1715.58521188  
GTR+I           | -832.24937      | 1682.49874      | 1683.09476649   | 1716.18576869  
GTR+G           | -834.57603      | 1687.15206      | 1687.74808649   | 1720.83908869  
F81+I+G         | -849.61933      | 1709.23866      | 1709.43473843   | 1727.95367594  
F81+I           | -852.86169      | 1713.72338      | 1713.85367316   | 1728.69539275  
HKY+I           | -851.56279      | 1713.12558      | 1713.32165843   | 1731.84059594  
HKY+I+G         | -848.72897      | 1709.45794      | 1709.73334984   | 1731.91595913  
SYM+I+G         | -847.83048      | 1709.66096      | 1710.02938105   | 1735.86198231  
SYM+I           | -852.12477      | 1716.24954      | 1716.52494984   | 1738.70755913  
SYM+G           | -853.13871      | 1718.27742      | 1718.55282984   | 1740.73543913  
F81+G           | -858.94021      | 1725.88042      | 1726.01071316   | 1740.85243275  
HKY+G           | -857.44393      | 1724.88786      | 1725.08393843   | 1743.60287594  
JC+I+G          | -888.17191      | 1780.34382      | 1780.38265495   | 1787.82982638  
K80+I           | -888.61673      | 1781.23346      | 1781.27229495   | 1788.71946638  
K80+I+G         | -885.77899      | 1777.55798      | 1777.63590208   | 1788.78698956  
JC+I            | -891.56428      | 1785.12856      | 1785.14146323   | 1788.87156319  
K80+G           | -893.30153      | 1790.60306      | 1790.64189495   | 1798.08906638  
JC+G            | -896.29642      | 1794.59284      | 1794.60574323   | 1798.33584319  
GTR             | -888.54691      | 1793.09382      | 1793.56906752   | 1823.0378455   
SYM             | -903.55571      | 1817.11142      | 1817.30749843   | 1835.82643594  
F81             | -920.48637      | 1846.97274      | 1847.05066208   | 1858.20174956  
HKY             | -918.21652      | 1844.43304      | 1844.56333316   | 1859.40505275  
K80             | -949.41586      | 1900.83172      | 1900.84462323   | 1904.57472319  
JC              | -952.49792      | 1904.99584      | 1904.99584      | 1904.99584     
