Model selection results for subset: 7984cd8f2c13b0b477bacd4d6d3cb27d
Subset alignment stored here: ./analysis/phylofiles/7984cd8f2c13b0b477bacd4d6d3cb27d.phy
This subset contains the following data_blocks: (alineamiento_COI_p2, alineamiento_16S_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1170.95625     | 2359.9125       | 2360.46634615   | 2394.23967479  
GTR+I+G         | -1169.23931     | 2358.47862      | 2359.15763235   | 2396.61992532  
GTR+I           | -1172.85925     | 2363.7185       | 2364.27234615   | 2398.04567479  
HKY+I+G         | -1187.4456      | 2386.8912       | 2387.14729756   | 2409.77598319  
HKY+G           | -1190.80259     | 2391.60518      | 2391.78755082   | 2410.67583266  
HKY+I           | -1193.19848     | 2396.39696      | 2396.57933082   | 2415.46761266  
F81+G           | -1206.58457     | 2421.16914      | 2421.29035212   | 2436.42566213  
F81+I+G         | -1204.20287     | 2418.40574      | 2418.58811082   | 2437.47639266  
F81+I           | -1208.40793     | 2424.81586      | 2424.93707212   | 2440.07238213  
SYM+G           | -1217.07389     | 2446.14778      | 2446.40387756   | 2469.03256319  
SYM+I+G         | -1214.42962     | 2442.85924      | 2443.20174765   | 2469.55815372  
SYM+I           | -1220.52089     | 2453.04178      | 2453.29787756   | 2475.92656319  
K80+I+G         | -1263.42107     | 2532.84214      | 2532.91464755   | 2544.2845316   
K80+G           | -1266.49331     | 2536.98662      | 2537.02276458   | 2544.61488106  
K80+I           | -1268.73365     | 2541.4673       | 2541.50344458   | 2549.09556106  
JC+G            | -1272.47413     | 2546.94826      | 2546.96027201   | 2550.76239053  
JC+I+G          | -1269.78599     | 2543.57198      | 2543.60812458   | 2551.20024106  
JC+I            | -1274.63513     | 2551.27026      | 2551.28227201   | 2555.08439053  
GTR             | -1256.88312     | 2529.76624      | 2530.20795779   | 2560.27928425  
HKY             | -1282.66099     | 2573.32198      | 2573.44319212   | 2588.57850213  
F81             | -1294.39897     | 2594.79794      | 2594.87044755   | 2606.2403316   
SYM             | -1298.54882     | 2607.09764      | 2607.28001082   | 2626.16829266  
K80             | -1348.9392      | 2699.8784       | 2699.89041201   | 2703.69253053  
JC              | -1354.54514     | 2709.09028      | 2709.09028      | 2709.09028     
