Model selection results for subset: 7f3316a73235cc85f47225e39980172f
Subset alignment stored here: ./analysis/phylofiles/7f3316a73235cc85f47225e39980172f.phy
This subset contains the following data_blocks: (alineamiento_16S_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
F81+G           | -612.69999      | 1233.39998      | 1233.63119387   | 1246.1271142   
F81+I           | -613.05727      | 1234.11454      | 1234.34575387   | 1246.8416742   
HKY+G           | -611.04858      | 1232.09716      | 1232.44599721   | 1248.00607775  
HKY+I           | -611.42409      | 1232.84818      | 1233.19701721   | 1248.75709775  
F81+I+G         | -612.65857      | 1235.31714      | 1235.66597721   | 1251.22605775  
GTR+G           | -603.01171      | 1224.02342      | 1225.09484857   | 1252.65947195  
HKY+I+G         | -610.94806      | 1233.89612      | 1234.38734807   | 1252.9868213   
GTR+I           | -603.38542      | 1224.77084      | 1225.84226857   | 1253.40689195  
GTR+I+G         | -602.99314      | 1225.98628      | 1227.30364527   | 1257.8041155   
GTR             | -623.79972      | 1263.59944      | 1264.45151101   | 1289.0537084   
F81             | -637.16494      | 1280.32988      | 1280.46781103   | 1289.87523065  
HKY             | -636.31062      | 1280.62124      | 1280.85245387   | 1293.3483742   
SYM+G           | -646.27163      | 1304.54326      | 1305.03448807   | 1323.6339613   
SYM+I           | -647.14362      | 1306.28724      | 1306.77846807   | 1325.3779413   
SYM+I+G         | -645.75516      | 1305.51032      | 1306.16914353   | 1327.78280485  
SYM             | -666.71261      | 1343.42522      | 1343.77405721   | 1359.33413775  
JC+G            | -688.36358      | 1378.72716      | 1378.74988727   | 1381.90894355  
JC+I            | -689.01494      | 1380.02988      | 1380.05260727   | 1383.21166355  
JC+I+G          | -688.245        | 1380.49         | 1380.55857143   | 1386.8535671   
K80+G           | -688.27162      | 1380.54324      | 1380.61181143   | 1386.9068071   
K80+I           | -688.89262      | 1381.78524      | 1381.85381143   | 1388.1488071   
K80+I+G         | -688.16508      | 1382.33016      | 1382.46809103   | 1391.87551065  
JC              | -710.33751      | 1420.67502      | 1420.67502      | 1420.67502     
K80             | -710.20494      | 1422.40988      | 1422.43260727   | 1425.59166355  
