Model selection results for subset: 8133f7b5aeda894a67f73dfc23c99bb3
Subset alignment stored here: ./analysis/phylofiles/8133f7b5aeda894a67f73dfc23c99bb3.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_16S_p1, alineamiento_WG_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1570.03384     | 3158.06768      | 3158.44268      | 3195.81732852  
GTR+I+G         | -1567.19939     | 3154.39878      | 3154.85807019   | 3196.34283391  
GTR+I           | -1572.31054     | 3162.62108      | 3162.99608      | 3200.37072852  
HKY+I+G         | -1600.48653     | 3212.97306      | 3213.14697304   | 3238.13949235  
F81+I+G         | -1605.20721     | 3220.41442      | 3220.53838694   | 3241.38644696  
HKY+G           | -1605.58964     | 3221.17928      | 3221.30324694   | 3242.15130696  
F81+G           | -1609.40251     | 3226.80502      | 3226.88749423   | 3243.58264156  
HKY+I           | -1607.36159     | 3224.72318      | 3224.84714694   | 3245.69520696  
F81+I           | -1610.62196     | 3229.24392      | 3229.32639423   | 3246.02154156  
SYM+I+G         | -1647.93144     | 3309.86288      | 3310.09524515   | 3339.22371774  
SYM+G           | -1652.44269     | 3316.88538      | 3317.05929304   | 3342.05181235  
SYM+I           | -1655.86988     | 3323.73976      | 3323.91367304   | 3348.90619235  
GTR             | -1678.65196     | 3373.30392      | 3373.6032963    | 3406.85916313  
F81             | -1720.01194     | 3446.02388      | 3446.07326272   | 3458.60709617  
HKY             | -1718.63673     | 3445.27346      | 3445.35593423   | 3462.05108156  
JC+I+G          | -1727.68147     | 3459.36294      | 3459.38758066   | 3467.75175078  
JC+G            | -1731.19018     | 3464.38036      | 3464.38855672   | 3468.57476539  
JC+I            | -1732.22685     | 3466.4537       | 3466.46189672   | 3470.64810539  
K80+I+G         | -1727.68136     | 3461.36272      | 3461.41210272   | 3473.94593617  
K80+G           | -1731.17421     | 3466.34842      | 3466.37306066   | 3474.73723078  
K80+I           | -1732.2031      | 3468.4062       | 3468.43084066   | 3476.79501078  
SYM             | -1751.32521     | 3512.65042      | 3512.77438694   | 3533.62244696  
JC              | -1831.45063     | 3662.90126      | 3662.90126      | 3662.90126     
K80             | -1831.40219     | 3664.80438      | 3664.81257672   | 3668.99878539  
