Model selection results for subset: 8163eeb08a90a1bdbddad7870237bb4b
Subset alignment stored here: ./analysis/phylofiles/8163eeb08a90a1bdbddad7870237bb4b.phy
This subset contains the following data_blocks: (alineamiento_COI_p1, alineamiento_WG_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1650.97331     | 3319.94662      | 3320.5826624    | 3353.06817348  
GTR+I+G         | -1649.49655     | 3318.9931       | 3319.77324184   | 3355.79482609  
GTR+I           | -1661.29676     | 3340.59352      | 3341.2295624    | 3373.71507348  
HKY+G           | -1683.98109     | 3377.96218      | 3378.17123923   | 3396.36304305  
HKY+I+G         | -1682.46222     | 3376.92444      | 3377.21814629   | 3399.00547565  
HKY+I           | -1697.10636     | 3404.21272      | 3404.42177923   | 3422.61358305  
SYM+G           | -1721.01999     | 3454.03998      | 3454.33368629   | 3476.12101565  
SYM+I+G         | -1719.2868      | 3452.5736       | 3452.96658246   | 3478.33480826  
SYM+I           | -1730.35482     | 3472.70964      | 3473.00334629   | 3494.79067565  
F81+G           | -1736.62048     | 3481.24096      | 3481.37984889   | 3495.96165044  
F81+I+G         | -1736.0179      | 3482.0358       | 3482.24485923   | 3500.43666305  
F81+I           | -1748.90863     | 3505.81726      | 3505.95614889   | 3520.53795044  
GTR             | -1749.6517      | 3515.3034       | 3515.81044225   | 3544.74478087  
SYM             | -1790.83635     | 3591.6727       | 3591.88175923   | 3610.07356305  
HKY             | -1799.45886     | 3606.91772      | 3607.05660889   | 3621.63841044  
F81             | -1831.41768     | 3668.83536      | 3668.91840498   | 3679.87587783  
K80+G           | -1837.07803     | 3678.15606      | 3678.19743931   | 3685.51640522  
K80+I+G         | -1836.7368      | 3679.4736       | 3679.55664498   | 3690.51411783  
JC+G            | -1850.67981     | 3703.35962      | 3703.3733657    | 3707.03979261  
K80+I           | -1848.50758     | 3701.01516      | 3701.05653931   | 3708.37550522  
JC+I+G          | -1850.44973     | 3704.89946      | 3704.94083931   | 3712.25980522  
JC+I            | -1860.74982     | 3723.49964      | 3723.5133857    | 3727.17981261  
K80             | -1913.21781     | 3828.43562      | 3828.4493657    | 3832.11579261  
JC              | -1924.02762     | 3848.05524      | 3848.05524      | 3848.05524     
