Model selection results for subset: 8593cfc73fcc73991af40af11491f933
Subset alignment stored here: ./analysis/phylofiles/8593cfc73fcc73991af40af11491f933.phy
This subset contains the following data_blocks: (alineamiento_COI_p1, alineamiento_WG_p2, alineamiento_CYTB_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -2192.53664     | 4403.07328      | 4403.49482567   | 4439.79267876  
GTR+I+G         | -2191.0733      | 4402.1466       | 4402.66303192   | 4442.94593195  
GTR+G           | -2210.01061     | 4438.02122      | 4438.44276567   | 4474.74061876  
HKY+I           | -2294.08719     | 4598.17438      | 4598.31359114   | 4618.57404598  
HKY+I+G         | -2292.501       | 4597.002        | 4597.19734884   | 4621.48159917  
HKY+G           | -2307.31089     | 4624.62178      | 4624.76099114   | 4645.02144598  
SYM+G           | -2325.84089     | 4663.68178      | 4663.87712884   | 4688.16137917  
SYM+I+G         | -2323.60165     | 4661.2033       | 4661.46437226   | 4689.76283237  
SYM+I           | -2335.63705     | 4683.2741       | 4683.46944884   | 4707.75369917  
GTR             | -2349.81843     | 4715.63686      | 4715.9733086    | 4748.27632556  
F81+G           | -2404.84834     | 4817.69668      | 4817.78927259   | 4834.01641278  
F81+I+G         | -2401.97512     | 4813.95024      | 4814.08945114   | 4834.34990598  
F81+I           | -2408.61724     | 4825.23448      | 4825.32707259   | 4841.55421278  
SYM             | -2416.50675     | 4843.0135       | 4843.15271114   | 4863.41316598  
HKY             | -2506.7403      | 5021.4806       | 5021.57319259   | 5037.80033278  
K80+G           | -2522.65832     | 5049.31664      | 5049.34428977   | 5057.47650639  
K80+I+G         | -2521.93031     | 5049.86062      | 5049.91604725   | 5062.10041959  
K80+I           | -2535.31729     | 5074.63458      | 5074.66222977   | 5082.79444639  
JC+G            | -2547.85751     | 5097.71502      | 5097.7242154    | 5101.7949532   
JC+I+G          | -2547.04839     | 5098.09678      | 5098.12442977   | 5106.25664639  
JC+I            | -2558.77587     | 5119.55174      | 5119.5609354    | 5123.6316732   
F81             | -2558.48263     | 5122.96526      | 5123.02068725   | 5135.20505959  
K80             | -2643.04525     | 5288.0905       | 5288.0996954    | 5292.1704332   
JC              | -2662.57622     | 5325.15244      | 5325.15244      | 5325.15244     
