Model selection results for subset: 8601d4a20fc031d067adb232ac24e4f3
Subset alignment stored here: ./analysis/phylofiles/8601d4a20fc031d067adb232ac24e4f3.phy
This subset contains the following data_blocks: (alineamiento_CYTB, alineamiento_WG)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -2252.5156      | 4525.0312       | 4525.29786667   | 4572.31748613  
GTR+I           | -2256.90555     | 4531.8111       | 4532.02901768   | 4574.36875752  
GTR+G           | -2259.1988      | 4536.3976       | 4536.61551768   | 4578.95525752  
TrN+I+G         | -2267.38473     | 4548.76946      | 4548.9047257    | 4581.86986029  
TIM+I+G         | -2264.64514     | 4545.29028      | 4545.46440334   | 4583.1193089   
TrN+I           | -2272.86147     | 4557.72294      | 4557.8242669    | 4586.09471168  
TIM+I           | -2269.63138     | 4553.26276      | 4553.3980257    | 4586.36316029  
TrN+G           | -2276.52416     | 4565.04832      | 4565.1496469    | 4593.42009168  
TIM+G           | -2273.19418     | 4560.38836      | 4560.5236257    | 4593.48876029  
HKY+I+G         | -2291.47907     | 4594.95814      | 4595.0594669    | 4623.32991168  
TVM+I           | -2284.85503     | 4585.71006      | 4585.88418334   | 4623.5390889   
HKY+I           | -2295.08654     | 4600.17308      | 4600.24536916   | 4623.81622307  
TVM+I+G         | -2282.18022     | 4582.36044      | 4582.57835768   | 4624.91809752  
K81uf+I         | -2292.8912      | 4597.7824       | 4597.8837269    | 4626.15417168  
K81uf+I+G       | -2289.68761     | 4593.37522      | 4593.5104857    | 4626.47562029  
TVM+G           | -2293.54601     | 4603.09202      | 4603.26614334   | 4640.9210489   
HKY+G           | -2304.36435     | 4618.7287       | 4618.80098916   | 4642.37184307  
K81uf+G         | -2302.07115     | 4616.1423       | 4616.2436269    | 4644.51407168  
SYM+I           | -2309.59685     | 4631.1937       | 4631.2950269    | 4659.56547168  
SYM+I+G         | -2308.52824     | 4631.05648      | 4631.1917457    | 4664.15688029  
SYM+G           | -2312.22117     | 4636.44234      | 4636.5436669    | 4664.81411168  
TIMef+I         | -2333.61214     | 4675.22428      | 4675.27241478   | 4694.13879445  
TIMef+I+G       | -2331.87854     | 4673.75708      | 4673.82936916   | 4697.40022307  
TrNef+I         | -2340.33552     | 4686.67104      | 4686.69988615   | 4700.85692584  
F81+I           | -2337.02228     | 4682.04456      | 4682.09269478   | 4700.95907445  
TIMef+G         | -2337.35467     | 4682.70934      | 4682.75747478   | 4701.62385445  
TrNef+I+G       | -2338.54924     | 4685.09848      | 4685.14661478   | 4704.01299445  
F81+I+G         | -2335.42865     | 4680.8573       | 4680.92958916   | 4704.50044307  
TrNef+G         | -2344.26586     | 4694.53172      | 4694.56056615   | 4708.71760584  
F81+G           | -2345.81891     | 4699.63782      | 4699.68595478   | 4718.55233445  
TVMef+I         | -2343.72573     | 4697.45146      | 4697.52374916   | 4721.09460307  
TVMef+I+G       | -2341.82044     | 4695.64088      | 4695.7422069    | 4724.01265168  
TVMef+G         | -2349.86366     | 4709.72732      | 4709.79960916   | 4733.37046307  
K81+I           | -2363.00621     | 4732.01242      | 4732.04126615   | 4746.19830584  
K81+I+G         | -2361.49086     | 4730.98172      | 4731.02985478   | 4749.89623445  
K80+I           | -2369.57524     | 4743.15048      | 4743.16488576   | 4752.60773723  
K80+I+G         | -2368.20969     | 4742.41938      | 4742.44822615   | 4756.60526584  
K81+G           | -2371.2987      | 4748.5974       | 4748.62624615   | 4762.78328584  
K80+G           | -2378.33744     | 4760.67488      | 4760.68928576   | 4770.13213723  
JC+I            | -2400.32229     | 4802.64458      | 4802.64937616   | 4807.37320861  
JC+I+G          | -2399.5964      | 4803.1928       | 4803.20720576   | 4812.65005723  
JC+G            | -2408.34744     | 4818.69488      | 4818.69967616   | 4823.42350861  
GTR             | -2393.63466     | 4803.26932      | 4803.44344334   | 4841.0983489   
TIM             | -2410.28391     | 4832.56782      | 4832.6691469    | 4860.93959168  
TrN             | -2415.96693     | 4841.93386      | 4842.00614916   | 4865.57700307  
TVM             | -2424.9502      | 4863.9004       | 4864.0356657    | 4897.00080029  
SYM             | -2434.92943     | 4879.85886      | 4879.93114916   | 4903.50200307  
K81uf           | -2441.72245     | 4893.4449       | 4893.51718916   | 4917.08804307  
HKY             | -2447.28688     | 4902.57376      | 4902.62189478   | 4921.48827445  
TIMef           | -2463.55419     | 4933.10838      | 4933.13722615   | 4947.29426584  
TrNef           | -2471.70525     | 4947.4105       | 4947.42490576   | 4956.86775723  
TVMef           | -2469.13564     | 4946.27128      | 4946.31941478   | 4965.18579445  
F81             | -2477.93541     | 4961.87082      | 4961.89966615   | 4976.05670584  
K81             | -2497.70023     | 4999.40046      | 4999.41486576   | 5008.85771723  
K80             | -2505.82819     | 5013.65638      | 5013.66117616   | 5018.38500861  
JC              | -2532.13456     | 5064.26912      | 5064.26912      | 5064.26912     
