Model selection results for subset: 864f0ff9baf9dd1c8447ba4659c6e12d
Subset alignment stored here: ./analysis/phylofiles/864f0ff9baf9dd1c8447ba4659c6e12d.phy
This subset contains the following data_blocks: (alineamiento_COI_p2, alineamiento_CYTB_p3, alineamiento_COI_p3, alineamiento_CYTB_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
HKY+I           | -1509.44848     | 3028.89696      | 3028.99763114   | 3050.89824723  
GTR+I           | -1497.33601     | 3012.67202      | 3012.97607405   | 3052.27433701  
HKY+I+G         | -1508.66475     | 3029.3295       | 3029.47067647   | 3055.73104467  
GTR+I+G         | -1496.84197     | 3013.68394      | 3014.05619042   | 3057.68651445  
GTR+G           | -1500.88039     | 3019.76078      | 3020.06483405   | 3059.36309701  
HKY+G           | -1514.7228      | 3039.4456       | 3039.54627114   | 3061.44688723  
F81+I           | -1537.03973     | 3082.07946      | 3082.14646168   | 3099.68048978  
F81+I+G         | -1535.16522     | 3080.33044      | 3080.43111114   | 3102.33172723  
F81+G           | -1542.85261     | 3093.70522      | 3093.77222168   | 3111.30624978  
SYM+I           | -1545.06344     | 3102.12688      | 3102.26805647   | 3128.52842467  
SYM+I+G         | -1543.36777     | 3100.73554      | 3100.92409219   | 3131.53734212  
SYM+G           | -1548.437       | 3108.874        | 3109.01517647   | 3135.27554467  
K80+I           | -1572.12731     | 3148.25462      | 3148.27465339   | 3157.05513489  
K80+I+G         | -1570.65118     | 3147.30236      | 3147.34249378   | 3160.50313234  
K80+G           | -1577.39881     | 3158.79762      | 3158.81765339   | 3167.59813489  
JC+I            | -1597.33999     | 3196.67998      | 3196.68664667   | 3201.08023745  
JC+I+G          | -1595.73718     | 3195.47436      | 3195.49439339   | 3204.27487489  
GTR             | -1578.46362     | 3172.92724      | 3173.17007305   | 3208.12929956  
JC+G            | -1602.47247     | 3206.94494      | 3206.95160667   | 3211.34519745  
HKY             | -1593.00631     | 3194.01262      | 3194.07962168   | 3211.61364978  
F81             | -1618.7972      | 3243.5944       | 3243.63453378   | 3256.79517234  
SYM             | -1622.3452      | 3254.6904       | 3254.79107114   | 3276.69168723  
K80             | -1650.06283     | 3302.12566      | 3302.13232667   | 3306.52591745  
JC              | -1674.07181     | 3348.14362      | 3348.14362      | 3348.14362     
