Model selection results for subset: 86678f5a042549866e6646cf8ab3a9a7
Subset alignment stored here: ./analysis/phylofiles/86678f5a042549866e6646cf8ab3a9a7.phy
This subset contains the following data_blocks: (alineamiento_COI_p1, alineamiento_16S_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -1844.7108      | 3709.4216       | 3710.09852308   | 3747.5927116   
GTR+G           | -1850.45046     | 3718.90092      | 3719.45306724   | 3753.25492044  
GTR+I           | -1854.65151     | 3727.30302      | 3727.85516724   | 3761.65702044  
HKY+I+G         | -1864.38392     | 3740.76784      | 3741.02315915   | 3763.67050696  
HKY+G           | -1868.69359     | 3747.38718      | 3747.56899818   | 3766.4727358   
HKY+I           | -1875.65991     | 3761.31982      | 3761.50163818   | 3780.4053758   
F81+G           | -1940.58221     | 3889.16442      | 3889.28526592   | 3904.43286464  
F81+I+G         | -1939.51763     | 3889.03526      | 3889.21707818   | 3908.1208158   
F81+I           | -1948.7214      | 3905.4428       | 3905.56364592   | 3920.71124464  
GTR             | -1983.56185     | 3983.1237       | 3983.56406697   | 4013.66058928  
SYM+G           | -1999.62201     | 4011.24402      | 4011.49933915   | 4034.14668696  
SYM+I+G         | -1997.31608     | 4008.63216      | 4008.97362341   | 4035.35193812  
SYM+I           | -2009.8869      | 4031.7738       | 4032.02911915   | 4054.67646696  
HKY             | -2016.15925     | 4040.3185       | 4040.43934592   | 4055.58694464  
F81             | -2061.38687     | 4128.77374      | 4128.84602916   | 4140.22507348  
SYM             | -2094.14318     | 4198.28636      | 4198.46817818   | 4217.3719158   
K80+G           | -2126.16529     | 4256.33058      | 4256.36661604   | 4263.96480232  
JC+G            | -2129.14472     | 4260.28944      | 4260.30141605   | 4264.10655116  
K80+I+G         | -2125.96878     | 4257.93756      | 4258.00984916   | 4269.38889348  
JC+I+G          | -2129.00619     | 4262.01238      | 4262.04841604   | 4269.64660232  
JC+I            | -2140.97403     | 4283.94806      | 4283.96003605   | 4287.76517116  
K80+I           | -2138.6299      | 4281.2598       | 4281.29583604   | 4288.89402232  
JC              | -2227.16185     | 4454.3237       | 4454.3237       | 4454.3237      
K80             | -2225.51262     | 4453.02524      | 4453.03721605   | 4456.84235116  
