Model selection results for subset: 86c589f8f7cebefdd6eec242e868849a
Subset alignment stored here: ./analysis/phylofiles/86c589f8f7cebefdd6eec242e868849a.phy
This subset contains the following data_blocks: (alineamiento_WG_p3, alineamiento_COI_p3, alineamiento_CYTB_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
HKY+I           | -762.48833      | 1534.97666      | 1535.11652014   | 1555.35339016  
F81+I           | -766.06219      | 1540.12438      | 1540.21740326   | 1556.42576412  
HKY+I+G         | -762.02556      | 1536.05112      | 1536.24738168   | 1560.50319619  
F81+I+G         | -765.73059      | 1541.46118      | 1541.60104014   | 1561.83791016  
GTR+I           | -754.18124      | 1526.36248      | 1526.78600941   | 1563.04059428  
GTR+I+G         | -753.40725      | 1526.8145       | 1527.33336792   | 1567.56796031  
HKY+G           | -772.67877      | 1555.35754      | 1555.49740014   | 1575.73427016  
F81+G           | -776.30086      | 1560.60172      | 1560.69474326   | 1576.90310412  
GTR+G           | -763.09761      | 1544.19522      | 1544.61874941   | 1580.87333428  
K80+I           | -787.92118      | 1579.84236      | 1579.87013778   | 1587.99305206  
HKY             | -782.93967      | 1573.87934      | 1573.97236326   | 1590.18072412  
SYM+I           | -777.23788      | 1566.47576      | 1566.67202168   | 1590.92783619  
JC+I            | -792.49162      | 1586.98324      | 1586.99247788   | 1591.05858603  
F81             | -786.4867       | 1578.9734       | 1579.02908445   | 1591.19943809  
K80+I+G         | -787.50067      | 1581.00134      | 1581.05702445   | 1593.22737809  
SYM+I+G         | -776.42732      | 1566.85464      | 1567.11693508   | 1595.38206222  
GTR             | -773.84494      | 1563.68988      | 1564.02790817   | 1596.29264825  
JC+I+G          | -792.23557      | 1588.47114      | 1588.49891778   | 1596.62183206  
K80+G           | -797.18284      | 1598.36568      | 1598.39345778   | 1606.51637206  
SYM+G           | -785.24839      | 1582.49678      | 1582.69304168   | 1606.94885619  
JC+G            | -800.99999      | 1603.99998      | 1604.00921788   | 1608.07532603  
K80             | -807.19941      | 1616.39882      | 1616.40805788   | 1620.47416603  
SYM             | -795.48577      | 1600.97154      | 1601.11140014   | 1621.34827016  
JC              | -810.92956      | 1621.85912      | 1621.85912      | 1621.85912     
