Model selection results for subset: 892ded50f029b80f19c2f71a703a16b8
Subset alignment stored here: ./analysis/phylofiles/892ded50f029b80f19c2f71a703a16b8.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_COI_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -1857.93486     | 3735.86972      | 3736.54873235   | 3774.01102532  
GTR+G           | -1864.20385     | 3746.4077       | 3746.96154615   | 3780.73487479  
HKY+I+G         | -1873.8608      | 3759.7216       | 3759.97769756   | 3782.60638319  
GTR+I           | -1866.45831     | 3750.91662      | 3751.47046615   | 3785.24379479  
HKY+G           | -1881.47185     | 3772.9437       | 3773.12607082   | 3792.01435266  
HKY+I           | -1882.39447     | 3774.78894      | 3774.97131082   | 3793.85959266  
F81+I+G         | -1959.67488     | 3929.34976      | 3929.53213082   | 3948.42041266  
F81+G           | -1962.6291      | 3933.2582       | 3933.37941212   | 3948.51472213  
F81+I           | -1966.70329     | 3941.40658      | 3941.52779212   | 3956.66310213  
GTR             | -1988.50663     | 3993.01326      | 3993.45497779   | 4023.52630425  
SYM+I+G         | -2012.75246     | 4039.50492      | 4039.84742765   | 4066.20383372  
SYM+G           | -2015.73465     | 4043.4693       | 4043.72539756   | 4066.35408319  
SYM+I           | -2022.77796     | 4057.55592      | 4057.81201756   | 4080.44070319  
HKY             | -2029.96087     | 4067.92174      | 4068.04295212   | 4083.17826213  
F81             | -2082.59091     | 4171.18182      | 4171.25432755   | 4182.6242116   
SYM             | -2108.79699     | 4227.59398      | 4227.77635082   | 4246.66463266  
K80+G           | -2132.77461     | 4269.54922      | 4269.58536458   | 4277.17748106  
JC+G            | -2136.3185      | 4274.637        | 4274.64901201   | 4278.45113053  
K80+I+G         | -2131.72017     | 4269.44034      | 4269.51284755   | 4280.8827316   
JC+I+G          | -2135.28507     | 4274.57014      | 4274.60628458   | 4282.19840106  
K80+I           | -2142.14073     | 4288.28146      | 4288.31760458   | 4295.90972106  
JC+I            | -2145.1913      | 4292.3826       | 4292.39461201   | 4296.19673053  
JC              | -2234.17027     | 4468.34054      | 4468.34054      | 4468.34054     
K80             | -2231.90302     | 4465.80604      | 4465.81805201   | 4469.62017053  
