Model selection results for subset: 8b5cc9da6819fd50037d2c62a5e3fdd8
Subset alignment stored here: ./analysis/phylofiles/8b5cc9da6819fd50037d2c62a5e3fdd8.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_COI_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1179.24617     | 2376.49234      | 2377.04789556   | 2410.79260894  
GTR+I           | -1180.38036     | 2378.76072      | 2379.31627556   | 2413.06098894  
GTR+I+G         | -1178.83265     | 2377.6653       | 2378.34641455   | 2415.77670993  
HKY+G           | -1194.72341     | 2399.44682      | 2399.62974683   | 2418.50252496  
HKY+I+G         | -1192.35235     | 2396.7047       | 2396.96158073   | 2419.57154596  
HKY+I           | -1196.27229     | 2402.54458      | 2402.72750683   | 2421.60028496  
F81+G           | -1213.54658     | 2435.09316      | 2435.21474055   | 2450.33772397  
F81+I           | -1214.53957     | 2437.07914      | 2437.20072055   | 2452.32370397  
F81+I+G         | -1213.01466     | 2436.02932      | 2436.21224683   | 2455.08502496  
SYM+G           | -1228.71467     | 2469.42934      | 2469.68622073   | 2492.29618596  
SYM+I+G         | -1226.26676     | 2466.53352      | 2466.87707828   | 2493.21150695  
SYM+I           | -1230.91729     | 2473.83458      | 2474.09146073   | 2496.70142596  
K80+G           | -1273.24042     | 2550.48084      | 2550.51709378   | 2558.10312199  
K80+I+G         | -1271.14141     | 2548.28282      | 2548.35554727   | 2559.71624298  
K80+I           | -1274.5003      | 2553.0006       | 2553.03685378   | 2560.62288199  
JC+G            | -1280.50556     | 2563.01112      | 2563.02316819   | 2566.82226099  
JC+I+G          | -1278.57451     | 2561.14902      | 2561.18527378   | 2568.77130199  
JC+I            | -1281.76246     | 2565.52492      | 2565.53696819   | 2569.33606099  
GTR             | -1270.80986     | 2557.61972      | 2558.06279692   | 2588.10884794  
HKY             | -1293.37616     | 2594.75232      | 2594.87390055   | 2609.99688397  
F81             | -1307.79006     | 2621.58012      | 2621.65284727   | 2633.01354298  
SYM             | -1314.70297     | 2639.40594      | 2639.58886683   | 2658.46164496  
K80             | -1360.92291     | 2723.84582      | 2723.85786819   | 2727.65696099  
JC              | -1368.15181     | 2736.30362      | 2736.30362      | 2736.30362     
