Model selection results for subset: 8c7357b6b6617ca9daa2ce15125e7dd9
Subset alignment stored here: ./analysis/phylofiles/8c7357b6b6617ca9daa2ce15125e7dd9.phy
This subset contains the following data_blocks: (alineamiento_COI_p2, alineamiento_CYTB_p2, alineamiento_WG_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -1125.94334     | 2269.88668      | 2270.31020941   | 2306.56479428  
GTR+G           | -1126.88272     | 2271.76544      | 2272.18896941   | 2308.44355428  
GTR+I+G         | -1125.78414     | 2271.56828      | 2272.08714792   | 2312.32174031  
HKY+I           | -1148.64052     | 2307.28104      | 2307.42090014   | 2327.65777016  
HKY+I+G         | -1147.88761     | 2307.77522      | 2307.97148168   | 2332.22729619  
SYM+I           | -1148.71705     | 2309.4341       | 2309.63036168   | 2333.88617619  
SYM+G           | -1149.65512     | 2311.31024      | 2311.50650168   | 2335.76231619  
HKY+G           | -1152.8654      | 2315.7308       | 2315.87066014   | 2336.10753016  
SYM+I+G         | -1147.13301     | 2308.26602      | 2308.52831508   | 2336.79344222  
K80+I           | -1175.58506     | 2355.17012      | 2355.19789778   | 2363.32081206  
K80+I+G         | -1174.24317     | 2354.48634      | 2354.54202445   | 2366.71237809  
K80+G           | -1179.31383     | 2362.62766      | 2362.65543778   | 2370.77835206  
F81+I           | -1175.44764     | 2358.89528      | 2358.98830326   | 2375.19666412  
F81+I+G         | -1174.56505     | 2359.1301       | 2359.26996014   | 2379.50683016  
F81+G           | -1179.41024     | 2366.82048      | 2366.91350326   | 2383.12186412  
JC+I            | -1196.1973      | 2394.3946       | 2394.40383788   | 2398.46994603  
JC+I+G          | -1194.63484     | 2393.26968      | 2393.29745778   | 2401.42037206  
JC+G            | -1200.0077      | 2402.0154       | 2402.02463788   | 2406.09074603  
GTR             | -1187.4365      | 2390.873        | 2391.21102817   | 2423.47576825  
SYM             | -1207.2517      | 2424.5034       | 2424.64326014   | 2444.88013016  
HKY             | -1219.66573     | 2447.33146      | 2447.42448326   | 2463.63284412  
K80             | -1241.14301     | 2484.28602      | 2484.29525788   | 2488.36136603  
F81             | -1242.28608     | 2490.57216      | 2490.62784445   | 2502.79819809  
JC              | -1261.44759     | 2522.89518      | 2522.89518      | 2522.89518     
