Model selection results for subset: 8cd08d21d7918f1a8d4ad050e348e34e
Subset alignment stored here: ./analysis/phylofiles/8cd08d21d7918f1a8d4ad050e348e34e.phy
This subset contains the following data_blocks: (alineamiento_COI, alineamiento_WG)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -2999.96631     | 6019.93262      | 6020.18724963   | 6067.67485886  
GTR+G           | -3010.42323     | 6038.84646      | 6039.05455249   | 6081.81447498  
GTR+I           | -3013.74122     | 6045.48244      | 6045.69053249   | 6088.45045498  
TIM+I+G         | -3035.22773     | 6086.45546      | 6086.62174176   | 6124.64925109  
SYM+I+G         | -3046.08795     | 6106.1759       | 6106.30508108   | 6139.5954672   
TIM+G           | -3047.3686      | 6108.7372       | 6108.86638108   | 6142.1567672   
TIM+I           | -3049.56932     | 6113.13864      | 6113.26782108   | 6146.5582072   
SYM+G           | -3056.6993      | 6125.3986       | 6125.49537419   | 6154.04394332  
TVM+I+G         | -3049.33813     | 6116.67626      | 6116.88435249   | 6159.64427498  
SYM+I           | -3061.39232     | 6134.78464      | 6134.88141419   | 6163.42998332  
TrN+I+G         | -3064.32446     | 6142.64892      | 6142.77810108   | 6176.0684872   
TVM+G           | -3065.59085     | 6147.1817       | 6147.34798176   | 6185.37549109  
TVM+I           | -3067.66882     | 6151.33764      | 6151.50392176   | 6189.53143109  
TrN+G           | -3077.08602     | 6166.17204      | 6166.26881419   | 6194.81738332  
TrN+I           | -3079.16136     | 6170.32272      | 6170.41949419   | 6198.96806332  
K81uf+I+G       | -3078.069       | 6170.138        | 6170.26718108   | 6203.5575672   
K81uf+I         | -3094.42885     | 6200.8577       | 6200.95447419   | 6229.50304332  
K81uf+G         | -3094.51649     | 6201.03298      | 6201.12975419   | 6229.67832332  
TVMef+I+G       | -3100.41216     | 6212.82432      | 6212.92109419   | 6241.46966332  
TIMef+I+G       | -3105.40113     | 6220.80226      | 6220.87130488   | 6244.67337943  
HKY+I+G         | -3104.7327      | 6221.4654       | 6221.56217419   | 6250.11074332  
TIMef+G         | -3115.90702     | 6239.81404      | 6239.86001701   | 6258.91093555  
TVMef+G         | -3113.55687     | 6237.11374      | 6237.18278488   | 6260.98485943  
TIMef+I         | -3117.8158      | 6243.6316       | 6243.67757701   | 6262.72849555  
TVMef+I         | -3120.00164     | 6250.00328      | 6250.07232488   | 6273.87439943  
HKY+I           | -3120.9457      | 6251.8914       | 6251.96044488   | 6275.76251943  
HKY+G           | -3121.67443     | 6253.34886      | 6253.41790488   | 6277.21997943  
TrNef+I+G       | -3151.17542     | 6310.35084      | 6310.39681701   | 6329.44773555  
K81+I+G         | -3153.28643     | 6314.57286      | 6314.61883701   | 6333.66975555  
TrNef+G         | -3162.7252      | 6331.4504       | 6331.47795454   | 6345.77307166  
F81+I+G         | -3157.30196     | 6324.60392      | 6324.67296488   | 6348.47503943  
TrNef+I         | -3164.74656     | 6335.49312      | 6335.52067454   | 6349.81579166  
K81+G           | -3167.13522     | 6340.27044      | 6340.29799454   | 6354.59311166  
K81+I           | -3168.05357     | 6342.10714      | 6342.13469454   | 6356.42981166  
F81+I           | -3171.384       | 6350.768        | 6350.81397701   | 6369.86489555  
F81+G           | -3171.72959     | 6351.45918      | 6351.50515701   | 6370.55607555  
K80+I+G         | -3200.85887     | 6407.71774      | 6407.74529454   | 6422.04041166  
K80+G           | -3215.43025     | 6434.8605       | 6434.87426147   | 6444.40894777  
K80+I           | -3215.87941     | 6435.75882      | 6435.77258147   | 6445.30726777  
JC+I+G          | -3234.76748     | 6473.53496      | 6473.54872147   | 6483.08340777  
JC+G            | -3247.11049     | 6496.22098      | 6496.2255619    | 6500.99520389  
JC+I            | -3247.48991     | 6496.97982      | 6496.9844019    | 6501.75404389  
GTR             | -3256.01203     | 6528.02406      | 6528.19034176   | 6566.21785109  
SYM             | -3276.00432     | 6562.00864      | 6562.07768488   | 6585.87975943  
TVM             | -3297.9553      | 6609.9106       | 6610.03978108   | 6643.3301672   
TIM             | -3308.68989     | 6629.37978      | 6629.47655419   | 6658.02512332  
TVMef           | -3323.6356      | 6655.2712       | 6655.31717701   | 6674.36809555  
TIMef           | -3355.46682     | 6716.93364      | 6716.96119454   | 6731.25631166  
TrN             | -3350.29489     | 6710.58978      | 6710.65882488   | 6734.46089943  
K81uf           | -3350.67182     | 6711.34364      | 6711.41268488   | 6735.21475943  
HKY             | -3391.80976     | 6791.61952      | 6791.66549701   | 6810.71641555  
K81             | -3402.61345     | 6809.2269       | 6809.24066147   | 6818.77534777  
TrNef           | -3406.27908     | 6816.55816      | 6816.57192147   | 6826.10660777  
F81             | -3426.16        | 6858.32         | 6858.34755454   | 6872.64267166  
K80             | -3453.30217     | 6908.60434      | 6908.6089219    | 6913.37856389  
JC              | -3481.47937     | 6962.95874      | 6962.95874      | 6962.95874     
