Model selection results for subset: 9018a506b31525a2b9d89e0ae7a1e25f
Subset alignment stored here: ./analysis/phylofiles/9018a506b31525a2b9d89e0ae7a1e25f.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_COI_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -1868.5009      | 3757.0018       | 3757.67872308   | 3795.1729116   
GTR+I           | -1874.21654     | 3766.43308      | 3766.98522724   | 3800.78708044  
GTR+G           | -1874.66252     | 3767.32504      | 3767.87718724   | 3801.67904044  
HKY+I+G         | -1928.84403     | 3869.68806      | 3869.94337915   | 3892.59072696  
HKY+G           | -1932.19862     | 3874.39724      | 3874.57905818   | 3893.4827958   
HKY+I           | -1942.41665     | 3894.8333       | 3895.01511818   | 3913.9188558   
GTR             | -1959.61192     | 3935.22384      | 3935.66420697   | 3965.76072928  
F81+G           | -2007.50665     | 4023.0133       | 4023.13414592   | 4038.28174464  
F81+I+G         | -2006.77014     | 4023.54028      | 4023.72209818   | 4042.6258358   
F81+I           | -2017.10784     | 4042.21568      | 4042.33652592   | 4057.48412464  
SYM+G           | -2011.66461     | 4035.32922      | 4035.58453915   | 4058.23188696  
SYM+I+G         | -2010.24399     | 4034.48798      | 4034.82944341   | 4061.20775812  
SYM+I           | -2022.29562     | 4056.59124      | 4056.84655915   | 4079.49390696  
HKY             | -2058.94877     | 4125.89754      | 4126.01838592   | 4141.16598464  
SYM             | -2089.96652     | 4189.93304      | 4190.11485818   | 4209.0185958   
F81             | -2107.57047     | 4221.14094      | 4221.21322916   | 4232.59227348  
K80+G           | -2140.61345     | 4285.2269       | 4285.26293604   | 4292.86112232  
JC+G            | -2145.39677     | 4292.79354      | 4292.80551605   | 4296.61065116  
K80+I+G         | -2140.2303      | 4286.4606       | 4286.53288916   | 4297.91193348  
JC+I+G          | -2145.02979     | 4294.05958      | 4294.09561604   | 4301.69380232  
K80+I           | -2151.92629     | 4307.85258      | 4307.88861604   | 4315.48680232  
JC+I            | -2156.06279     | 4314.12558      | 4314.13755605   | 4317.94269116  
K80             | -2222.01143     | 4446.02286      | 4446.03483605   | 4449.83997116  
JC              | -2225.35077     | 4450.70154      | 4450.70154      | 4450.70154     
