Model selection results for subset: 911c242fd728122abadfbfa96f4e9b3f
Subset alignment stored here: ./analysis/phylofiles/911c242fd728122abadfbfa96f4e9b3f.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_16S_p1, alineamiento_COI_p1, alineamiento_16S_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -3104.22733     | 6228.45466      | 6228.77818941   | 6273.83605824  
GTR+G           | -3109.18734     | 6236.37468      | 6236.63899718   | 6277.21793841  
GTR+I           | -3117.06834     | 6252.13668      | 6252.40099718   | 6292.97993841  
HKY+G           | -3144.59845     | 6299.1969       | 6299.28449124   | 6321.88759912  
HKY+I+G         | -3141.4726      | 6294.9452       | 6295.06800702   | 6322.17403894  
HKY+I           | -3160.96482     | 6331.92964      | 6332.01723124   | 6354.62033912  
F81+G           | -3203.3441      | 6414.6882       | 6414.74650904   | 6432.8407593   
F81+I+G         | -3203.19415     | 6416.3883       | 6416.47589124   | 6439.07899912  
F81+I           | -3216.12633     | 6440.25266      | 6440.31096904   | 6458.4052193   
SYM+G           | -3346.70874     | 6705.41748      | 6705.54028702   | 6732.64631894  
SYM+I+G         | -3343.51416     | 6701.02832      | 6701.19230243   | 6732.79529877  
GTR             | -3342.88618     | 6701.77236      | 6701.9835037    | 6738.07747859  
SYM+I           | -3360.55588     | 6733.11176      | 6733.23456702   | 6760.34059894  
HKY             | -3399.57399     | 6807.14798      | 6807.20628904   | 6825.3005393   
F81             | -3427.02093     | 6860.04186      | 6860.0767945    | 6873.65627947  
JC+G            | -3513.25762     | 7028.51524      | 7028.52104552   | 7033.05337982  
K80+G           | -3512.47097     | 7028.94194      | 7028.95938186   | 7038.01821965  
JC+I+G          | -3512.52022     | 7029.04044      | 7029.05788186   | 7038.11671965  
K80+I+G         | -3511.26162     | 7028.52324      | 7028.5581745    | 7042.13765947  
JC+I            | -3527.28291     | 7056.56582      | 7056.57162552   | 7061.10395982  
K80+I           | -3526.7539      | 7057.5078       | 7057.52524186   | 7066.58407965  
SYM             | -3523.46672     | 7056.93344      | 7057.02103124   | 7079.62413912  
JC              | -3699.19097     | 7398.38194      | 7398.38194      | 7398.38194     
K80             | -3698.9796      | 7399.9592       | 7399.96500552   | 7404.49733982  
