Model selection results for subset: 934aef477519c82b9a333225e766e559
Subset alignment stored here: ./analysis/phylofiles/934aef477519c82b9a333225e766e559.phy
This subset contains the following data_blocks: (alineamiento_16S, alineamiento_CYTB)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
TIM+G           | -3248.30238     | 6510.60476      | 6510.72167023   | 6544.71690684  
TrN+G           | -3252.72918     | 6517.45836      | 6517.54595124   | 6546.69734301  
TIM+I+G         | -3248.09777     | 6512.19554      | 6512.34601022   | 6551.18085067  
GTR+G           | -3245.14995     | 6508.2999       | 6508.48818452   | 6552.15837451  
TrN+I+G         | -3252.57313     | 6519.14626      | 6519.26317023   | 6553.25840684  
GTR+I+G         | -3244.89511     | 6509.79022      | 6510.02058649   | 6558.52185834  
TIM+I           | -3257.52636     | 6529.05272      | 6529.16963023   | 6563.16486684  
K81uf+G         | -3262.06374     | 6536.12748      | 6536.21507124   | 6565.36646301  
HKY+G           | -3266.727       | 6543.454        | 6543.5165       | 6567.81981917  
K81uf+I+G       | -3260.03497     | 6534.06994      | 6534.18685023   | 6568.18208684  
TrN+I           | -3263.49338     | 6538.98676      | 6539.07435124   | 6568.22574301  
GTR+I           | -3253.54001     | 6525.08002      | 6525.26830452   | 6568.93849451  
HKY+I+G         | -3264.6366      | 6541.2732       | 6541.36079124   | 6570.51218301  
TVM+G           | -3258.52184     | 6533.04368      | 6533.19415022   | 6572.02899067  
TVM+I+G         | -3256.59153     | 6531.18306      | 6531.37134452   | 6575.04153451  
K81uf+I         | -3271.2384      | 6554.4768       | 6554.56439124   | 6583.71578301  
TVM+I           | -3266.95833     | 6549.91666      | 6550.06713022   | 6588.90197067  
HKY+I           | -3277.67368     | 6565.34736      | 6565.40986      | 6589.71317917  
F81+G           | -3311.35648     | 6630.71296      | 6630.75458331   | 6650.20561534  
F81+I+G         | -3309.80881     | 6629.61762      | 6629.68012      | 6653.98343917  
F81+I           | -3318.48804     | 6644.97608      | 6645.01770331   | 6664.46873534  
GTR             | -3446.53399     | 6909.06798      | 6909.21845022   | 6948.05329067  
TVM             | -3452.60523     | 6919.21046      | 6919.32737023   | 6953.32260684  
TIM             | -3456.04596     | 6924.09192      | 6924.17951124   | 6953.33090301  
K81uf           | -3462.12745     | 6934.2549       | 6934.3174       | 6958.62071917  
TrN             | -3474.12661     | 6958.25322      | 6958.31572      | 6982.61903917  
HKY             | -3480.39566     | 6968.79132      | 6968.83294331   | 6988.28397534  
F81             | -3502.98376     | 7011.96752      | 7011.99246802   | 7026.5870115   
SYM+G           | -3493.22772     | 6998.45544      | 6998.54303124   | 7027.69442301  
SYM+I+G         | -3490.67738     | 6995.35476      | 6995.47167023   | 7029.46690684  
TVMef+I+G       | -3497.21311     | 7006.42622      | 7006.51381124   | 7035.66520301  
TVMef+G         | -3500.80488     | 7011.60976      | 7011.67226      | 7035.97557917  
SYM+I           | -3500.37055     | 7012.7411       | 7012.82869124   | 7041.98008301  
TVMef+I         | -3508.87932     | 7027.75864      | 7027.82114      | 7052.12445917  
TIMef+G         | -3528.24301     | 7064.48602      | 7064.52764331   | 7083.97867534  
TIMef+I+G       | -3527.2049      | 7064.4098       | 7064.4723       | 7088.77561917  
K81+G           | -3536.841       | 7079.682        | 7079.70694802   | 7094.3014915   
K81+I+G         | -3533.81371     | 7075.62742      | 7075.66904331   | 7095.12007534  
TIMef+I         | -3534.26075     | 7076.5215       | 7076.56312331   | 7096.01415534  
K81+I           | -3543.37001     | 7092.74002      | 7092.76496802   | 7107.3595115   
TrNef+G         | -3595.11782     | 7196.23564      | 7196.26058802   | 7210.8551315   
TrNef+I+G       | -3593.83491     | 7195.66982      | 7195.71144331   | 7215.16247534  
TrNef+I         | -3601.80715     | 7209.6143       | 7209.63924802   | 7224.2337915   
K80+G           | -3605.8677      | 7215.7354       | 7215.74786106   | 7225.48172767  
JC+G            | -3609.9638      | 7221.9276       | 7221.93174938   | 7226.80076383  
K80+I+G         | -3603.58223     | 7213.16446      | 7213.18940802   | 7227.7839515   
JC+I+G          | -3608.05317     | 7220.10634      | 7220.11880106   | 7229.85266767  
K80+I           | -3613.03677     | 7230.07354      | 7230.08600106   | 7239.81986767  
JC+I            | -3616.76881     | 7235.53762      | 7235.54176938   | 7240.41078383  
SYM             | -3659.19698     | 7328.39396      | 7328.45646      | 7352.75977917  
TVMef           | -3662.80094     | 7333.60188      | 7333.64350331   | 7353.09453534  
TIMef           | -3702.77939     | 7411.55878      | 7411.58372802   | 7426.1782715   
K81             | -3706.4662      | 7416.9324       | 7416.94486106   | 7426.67872767  
JC              | -3780.15462     | 7560.30924      | 7560.30924      | 7560.30924     
TrNef           | -3773.6251      | 7551.2502       | 7551.26266106   | 7560.99652767  
K80             | -3777.68159     | 7557.36318      | 7557.36732938   | 7562.23634383  
