Model selection results for subset: 93a678b192c63355e19136d26f136054
Subset alignment stored here: ./analysis/phylofiles/93a678b192c63355e19136d26f136054.phy
This subset contains the following data_blocks: (alineamiento_COI)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -2137.61195     | 4295.2239       | 4295.70112343   | 4336.79368986  
GTR+G           | -2144.81122     | 4307.62244      | 4308.01205039   | 4345.03525087  
GTR+I           | -2146.99422     | 4311.98844      | 4312.37805039   | 4349.40125087  
TIM+I+G         | -2155.82967     | 4327.65934      | 4327.97035512   | 4360.91517188  
TIM+G           | -2164.00214     | 4342.00428      | 4342.24565931   | 4371.1031329   
TIM+I           | -2166.37763     | 4346.75526      | 4346.99663931   | 4375.8541129   
TrN+I+G         | -2173.40559     | 4360.81118      | 4361.05255931   | 4389.9100329   
TrN+G           | -2181.74079     | 4375.48158      | 4375.66222516   | 4400.42345391  
TVM+G           | -2177.90113     | 4371.80226      | 4372.11327512   | 4405.05809188  
TVM+I+G         | -2175.27513     | 4368.55026      | 4368.93987039   | 4405.96307087  
TrN+I           | -2184.68202     | 4381.36404      | 4381.54468516   | 4406.30591391  
K81uf+I+G       | -2187.45628     | 4388.91256      | 4389.15393931   | 4418.0114129   
K81uf+G         | -2191.78257     | 4395.56514      | 4395.74578516   | 4420.50701391  
TVM+I           | -2187.50856     | 4391.01712      | 4391.32813512   | 4424.27295188  
K81uf+I         | -2200.16728     | 4412.33456      | 4412.51520516   | 4437.27643391  
HKY+I+G         | -2201.61892     | 4415.23784      | 4415.41848516   | 4440.17971391  
HKY+G           | -2206.72224     | 4423.44448      | 4423.57323536   | 4444.22937493  
HKY+I           | -2214.95444     | 4439.90888      | 4440.03763536   | 4460.69377493  
SYM+I+G         | -2219.2127      | 4452.4254       | 4452.66677931   | 4481.5242529   
SYM+G           | -2224.18159     | 4460.36318      | 4460.54382516   | 4485.30505391  
SYM+I           | -2231.14888     | 4474.29776      | 4474.47840516   | 4499.23963391  
F81+G           | -2260.99832     | 4529.99664      | 4530.0822931    | 4546.62455594  
F81+I+G         | -2259.32809     | 4528.65618      | 4528.78493536   | 4549.44107493  
TIMef+I+G       | -2265.85969     | 4541.71938      | 4541.84813536   | 4562.50427493  
TIMef+G         | -2271.48479     | 4550.96958      | 4551.0552331    | 4567.59749594  
F81+I           | -2273.32316     | 4554.64632      | 4554.7319731    | 4571.27423594  
TIMef+I         | -2274.82871     | 4557.65742      | 4557.7430731    | 4574.28533594  
TVMef+G         | -2279.10041     | 4568.20082      | 4568.32957536   | 4588.98571493  
TVMef+I+G       | -2277.30861     | 4566.61722      | 4566.79786516   | 4591.55909391  
TVMef+I         | -2294.11005     | 4598.2201       | 4598.34885536   | 4619.00499493  
TrNef+I+G       | -2314.99832     | 4637.99664      | 4638.0822931    | 4654.62455594  
TrNef+G         | -2321.38621     | 4648.77242      | 4648.82370205   | 4661.24335696  
K81+G           | -2321.4409      | 4648.8818       | 4648.93308205   | 4661.35273696  
K81+I+G         | -2319.65669     | 4647.31338      | 4647.3990331    | 4663.94129594  
TrNef+I         | -2325.83227     | 4657.66454      | 4657.71582205   | 4670.13547696  
K81+I           | -2331.17486     | 4668.34972      | 4668.40100205   | 4680.82065696  
GTR             | -2332.18689     | 4680.37378      | 4680.68479512   | 4713.62961188  
TIM             | -2359.98466     | 4731.96932      | 4732.14996516   | 4756.91119391  
K80+G           | -2372.85537     | 4749.71074      | 4749.73632635   | 4758.02469797  
K80+I+G         | -2370.36535     | 4746.7307       | 4746.78198205   | 4759.20163696  
TVM             | -2360.83584     | 4735.67168      | 4735.91305931   | 4764.7705329   
K80+I           | -2383.20933     | 4770.41866      | 4770.44424635   | 4778.73261797  
SYM             | -2377.06484     | 4764.12968      | 4764.25843536   | 4784.91457493  
JC+G            | -2397.61319     | 4797.22638      | 4797.23489064   | 4801.38335899  
JC+I+G          | -2395.96449     | 4795.92898      | 4795.95456635   | 4804.24293797  
K81uf           | -2388.53434     | 4787.06868      | 4787.19743536   | 4807.85357493  
TrN             | -2392.4913      | 4794.9826       | 4795.11135536   | 4815.76749493  
JC+I            | -2407.21887     | 4816.43774      | 4816.44625064   | 4820.59471899  
HKY             | -2420.49629     | 4848.99258      | 4849.0782331    | 4865.62049594  
TVMef           | -2424.14533     | 4856.29066      | 4856.3763131    | 4872.91857594  
TIMef           | -2436.69656     | 4879.39312      | 4879.44440205   | 4891.86405696  
F81             | -2455.77986     | 4917.55972      | 4917.61100205   | 4930.03065696  
K81             | -2482.72131     | 4969.44262      | 4969.46820635   | 4977.75657797  
TrNef           | -2493.32291     | 4990.64582      | 4990.67140635   | 4998.95977797  
K80             | -2539.19746     | 5080.39492      | 5080.40343064   | 5084.55189899  
JC              | -2560.65721     | 5121.31442      | 5121.31442      | 5121.31442     
