Model selection results for subset: 95123f36ba1e57a21f11b36af409f089
Subset alignment stored here: ./analysis/phylofiles/95123f36ba1e57a21f11b36af409f089.phy
This subset contains the following data_blocks: (alineamiento_COI, alineamiento_CYTB)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -3528.78938     | 7077.57876      | 7077.82484501   | 7125.65810944  
GTR+G           | -3536.41441     | 7090.82882      | 7091.02993732   | 7134.10023449  
GTR+I           | -3539.0519      | 7096.1038       | 7096.30491732   | 7139.37521449  
TIM+I+G         | -3546.86374     | 7109.72748      | 7109.88819429   | 7148.19095955  
TIM+G           | -3554.99886     | 7123.99772      | 7124.12258065   | 7157.65326461  
TIM+I           | -3558.15337     | 7130.30674      | 7130.43160065   | 7163.96228461  
TrN+G           | -3566.7254      | 7145.4508       | 7145.5443412    | 7174.29840966  
TrN+I+G         | -3566.72636     | 7147.45272      | 7147.57758065   | 7181.10826461  
TrN+I           | -3570.96549     | 7153.93098      | 7154.0245212    | 7182.77858966  
TVM+G           | -3591.12413     | 7198.24826      | 7198.40897429   | 7236.71173955  
K81uf+I+G       | -3597.21307     | 7208.42614      | 7208.55100065   | 7242.08168461  
TVM+I+G         | -3590.49757     | 7198.99514      | 7199.19625732   | 7242.26655449  
K81uf+G         | -3601.51562     | 7215.03124      | 7215.1247812    | 7243.87884966  
HKY+G           | -3609.37434     | 7228.74868      | 7228.81542082   | 7252.78835472  
TVM+I           | -3600.88495     | 7217.7699       | 7217.93061429   | 7256.23337955  
HKY+I+G         | -3608.46815     | 7228.9363       | 7229.0298412    | 7257.78390966  
K81uf+I         | -3611.39382     | 7234.78764      | 7234.8811812    | 7263.63524966  
HKY+I           | -3620.09411     | 7250.18822      | 7250.25496082   | 7274.22789472  
F81+G           | -3712.0003      | 7432.0006       | 7432.04504444   | 7451.23233977  
F81+I+G         | -3710.51576     | 7431.03152      | 7431.09826082   | 7455.07119472  
SYM+I+G         | -3711.90297     | 7437.80594      | 7437.93080065   | 7471.46148461  
SYM+G           | -3717.27639     | 7446.55278      | 7446.6463212    | 7475.40038966  
F81+I           | -3726.96212     | 7461.92424      | 7461.96868444   | 7481.15597977  
SYM+I           | -3725.349       | 7462.698        | 7462.7915412    | 7491.54560966  
TIMef+I+G       | -3769.5013      | 7549.0026       | 7549.06934082   | 7573.04227472  
TIMef+G         | -3775.64878     | 7559.29756      | 7559.34200444   | 7578.52929977  
TIMef+I         | -3779.93463     | 7567.86926      | 7567.91370444   | 7587.10099977  
GTR             | -3797.0465      | 7610.093        | 7610.25371429   | 7648.55647955  
TVMef+G         | -3810.19322     | 7630.38644      | 7630.45318082   | 7654.42611472  
TVMef+I+G       | -3808.12915     | 7628.2583       | 7628.3518412    | 7657.10590966  
TrNef+I+G       | -3823.46207     | 7654.92414      | 7654.96858444   | 7674.15587977  
TrNef+G         | -3829.80237     | 7665.60474      | 7665.63137707   | 7680.02854483  
TIM             | -3823.29843     | 7658.59686      | 7658.6904012    | 7687.44446966  
TVMef+I         | -3828.31854     | 7666.63708      | 7666.70382082   | 7690.67675472  
TrNef+I         | -3835.68405     | 7677.3681       | 7677.39473707   | 7691.79190483  
TrN             | -3851.2949      | 7712.5898       | 7712.65654082   | 7736.62947472  
TVM             | -3848.36302     | 7710.72604      | 7710.85090065   | 7744.38158461  
K81+G           | -3862.92653     | 7731.85306      | 7731.87969707   | 7746.27686483  
K81+I+G         | -3860.83003     | 7729.66006      | 7729.70450444   | 7748.89179977  
K81+I           | -3874.94938     | 7755.89876      | 7755.92539707   | 7770.32256483  
K81uf           | -3874.68584     | 7759.37168      | 7759.43842082   | 7783.41135472  
HKY             | -3902.09666     | 7812.19332      | 7812.23776444   | 7831.42505977  
K80+G           | -3918.49507     | 7840.99014      | 7841.00344377   | 7850.60600989  
K80+I+G         | -3916.08693     | 7838.17386      | 7838.20049707   | 7852.59766483  
K80+I           | -3931.57845     | 7867.1569       | 7867.17020377   | 7876.77276989  
SYM             | -3923.67981     | 7857.35962      | 7857.42636082   | 7881.39929472  
JC+G            | -3964.05866     | 7930.11732      | 7930.12174968   | 7934.92525494  
JC+I+G          | -3962.72506     | 7929.45012      | 7929.46342377   | 7939.06598989  
JC+I            | -3975.98897     | 7953.97794      | 7953.98236968   | 7958.78587494  
F81             | -3971.28788     | 7948.57576      | 7948.60239707   | 7962.99956483  
TIMef           | -3994.26934     | 7994.53868      | 7994.56531707   | 8008.96248483  
TVMef           | -4006.0212      | 8020.0424       | 8020.08684444   | 8039.27413977  
TrNef           | -4058.19051     | 8120.38102      | 8120.39432377   | 8129.99688989  
K81             | -4075.411       | 8154.822        | 8154.83530377   | 8164.43786989  
K80             | -4139.13949     | 8280.27898      | 8280.28340968   | 8285.08691494  
JC              | -4178.46257     | 8356.92514      | 8356.92514      | 8356.92514     
