Model selection results for subset: 952377e0df28bb4946dc60b5710373c6
Subset alignment stored here: ./analysis/phylofiles/952377e0df28bb4946dc60b5710373c6.phy
This subset contains the following data_blocks: (alineamiento_COI_p2, alineamiento_CYTB_p2, alineamiento_WG_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -1145.8037      | 2309.6074       | 2310.03092941   | 2346.28551428  
GTR+G           | -1146.75377     | 2311.50754      | 2311.93106941   | 2348.18565428  
GTR+I+G         | -1145.48285     | 2310.9657       | 2311.48456792   | 2351.71916031  
SYM+I           | -1159.22414     | 2330.44828      | 2330.64454168   | 2354.90035619  
SYM+G           | -1160.10545     | 2332.2109       | 2332.40716168   | 2356.66297619  
SYM+I+G         | -1157.31617     | 2328.63234      | 2328.89463508   | 2357.15976222  
HKY+I           | -1170.20509     | 2350.41018      | 2350.55004014   | 2370.78691016  
HKY+I+G         | -1169.21066     | 2350.42132      | 2350.61758168   | 2374.87339619  
HKY+G           | -1174.55441     | 2359.10882      | 2359.24868014   | 2379.48555016  
K80+I           | -1186.23196     | 2376.46392      | 2376.49169778   | 2384.61461206  
K80+I+G         | -1184.89757     | 2375.79514      | 2375.85082445   | 2388.02117809  
K80+G           | -1189.91443     | 2383.82886      | 2383.85663778   | 2391.97955206  
F81+I           | -1193.7705      | 2395.541        | 2395.63402326   | 2411.84238412  
F81+I+G         | -1192.83719     | 2395.67438      | 2395.81424014   | 2416.05111016  
JC+I            | -1205.21701     | 2412.43402      | 2412.44325788   | 2416.50936603  
JC+I+G          | -1203.72555     | 2411.4511       | 2411.47887778   | 2419.60179206  
F81+G           | -1197.73545     | 2403.4709       | 2403.56392326   | 2419.77228412  
JC+G            | -1208.96151     | 2419.92302      | 2419.93225788   | 2423.99836603  
GTR             | -1210.20438     | 2436.40876      | 2436.74678817   | 2469.01152825  
SYM             | -1220.20664     | 2450.41328      | 2450.55314014   | 2470.79001016  
HKY             | -1243.80501     | 2495.61002      | 2495.70304326   | 2511.91140412  
K80             | -1254.53989     | 2511.07978      | 2511.08901788   | 2515.15512603  
F81             | -1263.39552     | 2532.79104      | 2532.84672445   | 2545.01707809  
JC              | -1273.11907     | 2546.23814      | 2546.23814      | 2546.23814     
