Model selection results for subset: 955b296ab02e2894f445bdb05a30ce26
Subset alignment stored here: ./analysis/phylofiles/955b296ab02e2894f445bdb05a30ce26.phy
This subset contains the following data_blocks: (alineamiento_COI_p1, alineamiento_COI_p3, alineamiento_CYTB_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -2238.47787     | 4496.95574      | 4497.44571773   | 4538.26800489  
GTR+I           | -2242.11995     | 4502.2399       | 4502.6399       | 4539.42093841  
GTR+G           | -2255.72827     | 4529.45654      | 4529.85654      | 4566.63757841  
HKY+I+G         | -2265.75042     | 4543.50084      | 4543.68627046   | 4568.28819894  
HKY+I           | -2269.70056     | 4549.40112      | 4549.53327859   | 4570.05725245  
HKY+G           | -2281.88225     | 4573.7645       | 4573.89665859   | 4594.42063245  
F81+G           | -2381.07555     | 4770.1511       | 4770.23901209   | 4786.67600596  
F81+I+G         | -2379.60888     | 4769.21776      | 4769.34991859   | 4789.87389245  
F81+I           | -2391.44067     | 4790.88134      | 4790.96925209   | 4807.40624596  
SYM+I+G         | -2416.83631     | 4847.67262      | 4847.92040761   | 4876.59120543  
SYM+G           | -2422.85998     | 4857.71996      | 4857.90539046   | 4882.50731894  
SYM+I           | -2426.67267     | 4865.34534      | 4865.53077046   | 4890.13269894  
GTR             | -2460.58323     | 4937.16646      | 4937.48575047   | 4970.21627192  
HKY             | -2516.3688      | 5040.7376       | 5040.82551209   | 5057.26250596  
SYM             | -2568.42014     | 5146.84028      | 5146.97243859   | 5167.49641245  
F81             | -2575.43271     | 5156.86542      | 5156.91805158   | 5169.25909947  
K80+G           | -2599.80498     | 5203.60996      | 5203.63621821   | 5211.87241298  
K80+I+G         | -2598.52302     | 5203.04604      | 5203.09867158   | 5215.43971947  
K80+I           | -2610.96119     | 5225.92238      | 5225.94863821   | 5234.18483298  
JC+G            | -2629.719       | 5261.438        | 5261.44673362   | 5265.56922649  
JC+I+G          | -2628.38059     | 5260.76118      | 5260.78743821   | 5269.02363298  
JC+I            | -2639.17545     | 5280.3509       | 5280.35963362   | 5284.48212649  
K80             | -2752.03786     | 5506.07572      | 5506.08445362   | 5510.20694649  
JC              | -2775.25531     | 5550.51062      | 5550.51062      | 5550.51062     
