Model selection results for subset: 9820231beef2ff1c33954ac71eb694f3
Subset alignment stored here: ./analysis/phylofiles/9820231beef2ff1c33954ac71eb694f3.phy
This subset contains the following data_blocks: (alineamiento_COI_p1, alineamiento_WG_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -1493.33927     | 3006.67854      | 3007.46145815   | 3043.44607802  
GTR+I           | -1497.3645      | 3012.729        | 3013.36729787   | 3045.81978422  
GTR+G           | -1500.4433      | 3018.8866       | 3019.52489787   | 3051.97738422  
SYM+G           | -1564.42289     | 3140.84578      | 3141.14051684   | 3162.90630281  
SYM+I+G         | -1562.08209     | 3138.16418      | 3138.5585462    | 3163.90145662  
SYM+I           | -1571.98978     | 3155.97956      | 3156.27429684   | 3178.04008281  
HKY+I+G         | -1573.48167     | 3158.96334      | 3159.25807684   | 3181.02386281  
HKY+G           | -1577.79413     | 3165.58826      | 3165.79805021   | 3183.97202901  
HKY+I           | -1578.40278     | 3166.80556      | 3167.01535021   | 3185.18932901  
GTR             | -1604.80241     | 3225.60482      | 3226.11365392   | 3255.01885042  
F81+G           | -1622.33899     | 3252.67798      | 3252.81735282   | 3267.38499521  
F81+I+G         | -1620.81152     | 3251.62304      | 3251.83283021   | 3270.00680901  
F81+I           | -1628.24924     | 3264.49848      | 3264.63785282   | 3279.20549521  
SYM             | -1634.92563     | 3279.85126      | 3280.06105021   | 3298.23502901  
K80+G           | -1696.84727     | 3397.69454      | 3397.73606249   | 3405.0480476   
K80+I+G         | -1696.13429     | 3398.26858      | 3398.35191333   | 3409.29884141  
JC+G            | -1703.71552     | 3409.43104      | 3409.4448331    | 3413.1077938   
JC+I+G          | -1703.26763     | 3410.53526      | 3410.57678249   | 3417.8887676   
K80+I           | -1706.78592     | 3417.57184      | 3417.61336249   | 3424.9253476   
JC+I            | -1713.0554      | 3428.1108       | 3428.1245931    | 3431.7875538   
HKY             | -1716.74812     | 3441.49624      | 3441.63561282   | 3456.20325521  
F81             | -1735.49458     | 3476.98916      | 3477.07249333   | 3488.01942141  
K80             | -1789.16649     | 3580.33298      | 3580.3467731    | 3584.0097338   
JC              | -1794.2144      | 3588.4288       | 3588.4288       | 3588.4288      
