Model selection results for subset: 9edb5162cadfa6a9cf1336f0aa1d59fd
Subset alignment stored here: ./analysis/phylofiles/9edb5162cadfa6a9cf1336f0aa1d59fd.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_16S_p1, alineamiento_WG_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -1399.30024     | 2816.60048      | 2816.97626288   | 2854.33174241  
GTR+I+G         | -1396.40641     | 2812.81282      | 2813.27307105   | 2854.73644489  
GTR+G           | -1400.72595     | 2819.4519       | 2819.82768288   | 2857.18316241  
F81+I+G         | -1429.74492     | 2869.48984      | 2869.6140636    | 2890.45165245  
F81+I           | -1433.98526     | 2875.97052      | 2876.05316463   | 2892.73996996  
HKY+I+G         | -1429.6749      | 2871.3498       | 2871.52407386   | 2896.50397494  
HKY+I           | -1433.97255     | 2877.9451       | 2878.0693236    | 2898.90691245  
F81+G           | -1437.40255     | 2882.8051       | 2882.88774463   | 2899.57454996  
HKY+G           | -1437.39865     | 2884.7973       | 2884.9215236    | 2905.75911245  
SYM+I+G         | -1472.33141     | 2958.66282      | 2958.89566823   | 2988.00935743  
SYM+G           | -1478.0271      | 2968.0542       | 2968.22847386   | 2993.20837494  
SYM+I           | -1478.40837     | 2968.81674      | 2968.99101386   | 2993.97091494  
GTR             | -1511.72592     | 3039.45184      | 3039.75184      | 3072.99073992  
JC+I+G          | -1560.7079      | 3125.4158       | 3125.44049136   | 3133.80052498  
K80+I+G         | -1557.88225     | 3121.7645       | 3121.81398454   | 3134.34158747  
K80+I           | -1561.86039     | 3127.72078      | 3127.74547136   | 3136.10550498  
JC+I            | -1565.15295     | 3132.3059       | 3132.31411355   | 3136.49826249  
F81             | -1559.00744     | 3124.01488      | 3124.06436454   | 3136.59196747  
K80+G           | -1564.20859     | 3132.41718      | 3132.44187136   | 3140.80190498  
JC+G            | -1567.53906     | 3137.07812      | 3137.08633355   | 3141.27048249  
HKY             | -1558.42021     | 3124.84042      | 3124.92306463   | 3141.60986996  
SYM             | -1576.29432     | 3162.58864      | 3162.7128636    | 3183.55045245  
K80             | -1669.42136     | 3340.84272      | 3340.85093355   | 3345.03508249  
JC              | -1672.9194      | 3345.8388       | 3345.8388       | 3345.8388      
