Model selection results for subset: a0a2eee0a7169eac9746f4170ce30840
Subset alignment stored here: ./analysis/phylofiles/a0a2eee0a7169eac9746f4170ce30840.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_16S_p1, alineamiento_16S_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1781.55815     | 3581.1163       | 3581.46046826   | 3619.62299282  
GTR+I+G         | -1780.30901     | 3580.61802      | 3581.03947594   | 3623.40323424  
GTR+I           | -1785.08833     | 3588.17666      | 3588.52082826   | 3626.68335282  
F81+G           | -1811.67978     | 3631.35956      | 3631.43531758   | 3648.4736457   
HKY+G           | -1808.99868     | 3627.99736      | 3628.11121199   | 3649.38996712  
HKY+I+G         | -1806.66163     | 3625.32326      | 3625.48295582   | 3650.99438854  
F81+I+G         | -1809.81468     | 3629.62936      | 3629.74321199   | 3651.02196712  
F81+I           | -1815.36822     | 3638.73644      | 3638.81219758   | 3655.8505257   
HKY+I           | -1813.3095      | 3636.619        | 3636.73285199   | 3658.01160712  
GTR             | -1893.74168     | 3803.48336      | 3803.75816916   | 3837.71153139  
SYM+G           | -1913.40713     | 3838.81426      | 3838.97395582   | 3864.48538854  
SYM+I+G         | -1910.76439     | 3835.52878      | 3835.74211333   | 3865.47842997  
SYM+I           | -1918.50344     | 3849.00688      | 3849.16657582   | 3874.67800854  
F81             | -1937.04045     | 3880.0809       | 3880.12626862   | 3892.91646427  
HKY             | -1936.58756     | 3881.17512      | 3881.25087758   | 3898.2892057   
SYM             | -2015.81989     | 4041.63978      | 4041.75363199   | 4063.03238712  
JC+G            | -2037.95728     | 4077.91456      | 4077.92209296   | 4082.19308142  
K80+G           | -2035.37073     | 4074.74146      | 4074.76410151   | 4083.29850285  
JC+I+G          | -2035.90919     | 4075.81838      | 4075.84102151   | 4084.37542285  
K80+I+G         | -2033.66867     | 4073.33734      | 4073.38270862   | 4086.17290427  
JC+I            | -2041.32534     | 4084.65068      | 4084.65821296   | 4088.92920142  
K80+I           | -2038.5227      | 4081.0454       | 4081.06804151   | 4089.60244285  
JC              | -2146.36177     | 4292.72354      | 4292.72354      | 4292.72354     
K80             | -2143.3748      | 4288.7496       | 4288.75713296   | 4293.02812142  
