Model selection results for subset: a0f6f7c1599a5ece4b29e1e1754e0c75
Subset alignment stored here: ./analysis/phylofiles/a0f6f7c1599a5ece4b29e1e1754e0c75.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_COI_p2, alineamiento_16S_p1, alineamiento_16S_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -2394.09148     | 4806.18296      | 4806.44766588   | 4847.01318438  
GTR+I+G         | -2391.56715     | 4803.1343       | 4803.45830589   | 4848.50121598  
GTR+I           | -2398.06237     | 4814.12474      | 4814.38944588   | 4854.95496438  
HKY+I+G         | -2418.41955     | 4848.8391       | 4848.96208682   | 4876.05924959  
HKY+G           | -2422.34521     | 4854.69042      | 4854.7781393    | 4877.37387799  
HKY+I           | -2426.88347     | 4863.76694      | 4863.8546593    | 4886.45039799  
F81+G           | -2438.08108     | 4884.16216      | 4884.22055416   | 4902.30892639  
F81+I+G         | -2435.79138     | 4881.58276      | 4881.6704793    | 4904.26621799  
F81+I           | -2441.58958     | 4891.17916      | 4891.23755416   | 4909.32592639  
SYM+I+G         | -2524.01083     | 5062.02166      | 5062.18588287   | 5093.77850118  
SYM+G           | -2528.47667     | 5068.95334      | 5069.07632682   | 5096.17348959  
SYM+I           | -2535.11059     | 5082.22118      | 5082.34416682   | 5109.44132959  
GTR             | -2551.25988     | 5118.51976      | 5118.73121374   | 5154.81329278  
HKY             | -2592.80596     | 5193.61192      | 5193.67031416   | 5211.75868639  
F81             | -2602.16238     | 5210.32476      | 5210.35974542   | 5223.93483479  
JC+G            | -2640.908       | 5283.816        | 5283.82181395   | 5288.3526916   
JC+I+G          | -2637.73812     | 5279.47624      | 5279.49370725   | 5288.5496232   
K80+I+G         | -2636.41683     | 5278.83366      | 5278.86864542   | 5292.44373479  
K80+G           | -2639.78066     | 5283.56132      | 5283.57878725   | 5292.6347032   
JC+I            | -2644.94593     | 5291.89186      | 5291.89767395   | 5296.4285516   
K80+I           | -2643.89298     | 5291.78596      | 5291.80342725   | 5300.8593432   
SYM             | -2674.15577     | 5358.31154      | 5358.3992593    | 5380.99499799  
JC              | -2789.73838     | 5579.47676      | 5579.47676      | 5579.47676     
K80             | -2788.77748     | 5579.55496      | 5579.56077395   | 5584.0916516   
