Model selection results for subset: a1ea4ebceadfa3fb352e837d27baba1a
Subset alignment stored here: ./analysis/phylofiles/a1ea4ebceadfa3fb352e837d27baba1a.phy
This subset contains the following data_blocks: (alineamiento_WG_p1, alineamiento_WG_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
K80+I           | -577.43332      | 1158.86664      | 1158.91175278   | 1166.05606276  
K80+I+G         | -576.79001      | 1159.58002      | 1159.67058604   | 1170.36415414  
K80+G           | -582.8211       | 1169.6422       | 1169.68731278   | 1176.83162276  
SYM+I           | -573.49809      | 1158.99618      | 1159.31679069   | 1180.56444828  
JC+I            | -587.99462      | 1177.98924      | 1178.00422127   | 1181.58395138  
HKY+I           | -577.16529      | 1164.33058      | 1164.55871688   | 1182.3041369   
SYM+I+G         | -572.91476      | 1159.82952      | 1160.25863877   | 1184.99249966  
HKY+I+G         | -576.52276      | 1165.04552      | 1165.36613069   | 1186.61378828  
JC+I+G          | -587.9738       | 1179.9476       | 1179.99271278   | 1187.13702276  
SYM+G           | -578.31113      | 1168.62226      | 1168.94287069   | 1190.19052828  
JC+G            | -592.9781       | 1187.9562       | 1187.97118127   | 1191.55091138  
HKY+G           | -582.59874      | 1175.19748      | 1175.42561688   | 1193.1710369   
GTR+I           | -573.38978      | 1164.77956      | 1165.47454069   | 1197.13196242  
F81+I           | -587.77198      | 1183.54396      | 1183.69547515   | 1197.92280552  
GTR+I+G         | -572.80207      | 1165.60414      | 1166.45685318   | 1201.5512538   
K80             | -598.43501      | 1198.87002      | 1198.88500127   | 1202.46473138  
F81+I+G         | -587.75053      | 1185.50106      | 1185.72919688   | 1203.4746169   
GTR+G           | -578.23295      | 1174.4659       | 1175.16088069   | 1206.81830242  
F81+G           | -592.7666       | 1193.5332       | 1193.68471515   | 1207.91204552  
SYM             | -593.67863      | 1197.35726      | 1197.58539688   | 1215.3308169   
JC              | -608.39068      | 1216.78136      | 1216.78136      | 1216.78136     
HKY             | -598.23269      | 1204.46538      | 1204.61689515   | 1218.84422552  
GTR             | -593.58345      | 1203.1669       | 1203.72074615   | 1231.92459104  
F81             | -608.18473      | 1222.36946      | 1222.46002604   | 1233.15359414  
