Model selection results for subset: a2236cbe7f36a63d3b213f2074652385
Subset alignment stored here: ./analysis/phylofiles/a2236cbe7f36a63d3b213f2074652385.phy
This subset contains the following data_blocks: (alineamiento_CYTB_p1, alineamiento_CYTB_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -1047.78771     | 2113.57542      | 2114.22058129   | 2146.57326019  
GTR+I+G         | -1047.80316     | 2115.60632      | 2116.39768691   | 2152.27058688  
GTR+G           | -1054.41238     | 2126.82476      | 2127.46992129   | 2159.82260019  
HKY+I           | -1071.88988     | 2153.77976      | 2153.99177413   | 2172.11189344  
HKY+G           | -1076.19824     | 2162.39648      | 2162.60849413   | 2180.72861344  
HKY+I+G         | -1076.1992      | 2164.3984       | 2164.69627234   | 2186.39696013  
GTR             | -1090.68377     | 2197.36754      | 2197.88182571   | 2226.6989535   
HKY             | -1127.47474     | 2262.94948      | 2263.09032507   | 2277.61518675  
F81+I           | -1136.10707     | 2280.21414      | 2280.35498507   | 2294.87984675  
F81+G           | -1136.92986     | 2281.85972      | 2282.00056507   | 2296.52542675  
F81+I+G         | -1136.92967     | 2283.85934      | 2284.07135413   | 2302.19147344  
SYM+I           | -1147.23729     | 2306.47458      | 2306.77245234   | 2328.47314013  
SYM+G           | -1149.06892     | 2310.13784      | 2310.43571234   | 2332.13640013  
SYM+I+G         | -1147.18337     | 2308.36674      | 2308.76531651   | 2334.03172682  
F81             | -1177.37469     | 2360.74938      | 2360.83359053   | 2371.74866006  
SYM             | -1179.27019     | 2368.54038      | 2368.75239413   | 2386.87251344  
K80+I           | -1206.60184     | 2417.20368      | 2417.24563804   | 2424.53653338  
K80+G           | -1206.69341     | 2417.38682      | 2417.42877804   | 2424.71967338  
K80+I+G         | -1206.89755     | 2419.7951       | 2419.87931053   | 2430.79438006  
JC+I            | -1228.59535     | 2459.1907       | 2459.20463728   | 2462.85712669  
JC+G            | -1228.59894     | 2459.19788      | 2459.21181728   | 2462.86430669  
JC+I+G          | -1228.74257     | 2461.48514      | 2461.52709804   | 2468.81799338  
K80             | -1242.84758     | 2487.69516      | 2487.70909728   | 2491.36158669  
JC              | -1262.23006     | 2524.46012      | 2524.46012      | 2524.46012     
