Model selection results for subset: a24c69fbcd87b0464f324072cc767631
Subset alignment stored here: ./analysis/phylofiles/a24c69fbcd87b0464f324072cc767631.phy
This subset contains the following data_blocks: (alineamiento_WG_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
K80+I           | -364.46368      | 732.92736       | 733.018269091   | 738.737909557  
K80+G           | -364.73759      | 733.47518       | 733.566089091   | 739.285729557  
K80+I+G         | -364.04156      | 734.08312       | 734.266326107   | 742.798944335  
HKY+I           | -361.58247      | 733.16494       | 733.630056279   | 747.691313892  
HKY+G           | -361.81402      | 733.62804       | 734.093156279   | 748.154413892  
HKY+I+G         | -361.18341      | 734.36682       | 735.02307       | 751.798468671  
SYM+I           | -362.28483      | 736.56966       | 737.22591       | 754.001308671  
SYM+G           | -362.47204      | 736.94408       | 737.60033       | 754.375728671  
K80             | -374.99125      | 751.9825        | 752.012575188   | 754.887774778  
SYM+I+G         | -361.50497      | 737.00994       | 737.891829764   | 757.346863449  
JC+I            | -377.92767      | 757.85534       | 757.885415188   | 760.760614778  
JC+G            | -378.11091      | 758.22182       | 758.251895188   | 761.127094778  
GTR+I           | -358.61902      | 735.23804       | 736.67804       | 761.385513006  
GTR+G           | -358.77199      | 735.54398       | 736.98398       | 761.691453006  
HKY             | -372.00049      | 752.00098       | 752.308672308   | 763.622079114  
GTR+I+G         | -357.95405      | 735.9081        | 737.682293548   | 764.960847784  
JC+I+G          | -377.80563      | 759.61126       | 759.702169091   | 765.421809557  
F81+I           | -374.84674      | 757.69348       | 758.001172308   | 769.314579114  
SYM             | -372.43483      | 754.86966       | 755.334776279   | 769.396033892  
F81+G           | -374.99045      | 757.9809        | 758.288592308   | 769.601999114  
F81+I+G         | -374.75531      | 759.51062       | 759.975736279   | 774.036993892  
JC              | -387.99105      | 775.9821        | 775.9821        | 775.9821       
GTR             | -368.63764      | 753.27528       | 754.418137143   | 776.517478228  
F81             | -384.64567      | 775.29134       | 775.474546107   | 784.007164335  
