Model selection results for subset: a41fbf3b7e1cd7177767e87244384860
Subset alignment stored here: ./analysis/phylofiles/a41fbf3b7e1cd7177767e87244384860.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_WG_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -828.01441      | 1674.02882      | 1674.62484649   | 1707.71584869  
GTR+G           | -828.07205      | 1674.1441       | 1674.74012649   | 1707.83112869  
GTR+I+G         | -827.15786      | 1674.31572      | 1675.04661701   | 1711.74575188  
F81+I           | -848.06691      | 1704.13382      | 1704.26411316   | 1719.10583275  
F81+G           | -849.02818      | 1706.05636      | 1706.18665316   | 1721.02837275  
F81+I+G         | -847.1733       | 1704.3466       | 1704.54267843   | 1723.06161594  
HKY+I           | -847.9123       | 1705.8246       | 1706.02067843   | 1724.53961594  
HKY+G           | -848.9085       | 1707.817        | 1708.01307843   | 1726.53201594  
HKY+I+G         | -847.01668      | 1706.03336      | 1706.30876984   | 1728.49137913  
SYM+G           | -858.97099      | 1729.94198      | 1730.21738984   | 1752.39999913  
SYM+I           | -859.11783      | 1730.23566      | 1730.51106984   | 1752.69367913  
SYM+I+G         | -857.66111      | 1729.32222      | 1729.69064105   | 1755.52324231  
GTR             | -860.00668      | 1736.01336      | 1736.48860752   | 1765.9573855   
F81             | -887.20035      | 1780.4007       | 1780.47862208   | 1791.62970956  
HKY             | -887.1978       | 1782.3956       | 1782.52589316   | 1797.36761275  
SYM             | -890.22842      | 1790.45684      | 1790.65291843   | 1809.17185594  
JC+I            | -904.77737      | 1811.55474      | 1811.56764323   | 1815.29774319  
JC+G            | -905.31695      | 1812.6339       | 1812.64680323   | 1816.37690319  
JC+I+G          | -903.88798      | 1811.77596      | 1811.81479495   | 1819.26196638  
K80+I           | -904.65321      | 1813.30642      | 1813.34525495   | 1820.79242638  
K80+G           | -905.18821      | 1814.37642      | 1814.41525495   | 1821.86242638  
K80+I+G         | -903.82421      | 1813.64842      | 1813.72634208   | 1824.87742956  
JC              | -939.94099      | 1879.88198      | 1879.88198      | 1879.88198     
K80             | -939.82913      | 1881.65826      | 1881.67116323   | 1885.40126319  
