Model selection results for subset: a43be3d9aa4dddc7ebcf770ff2a40876
Subset alignment stored here: ./analysis/phylofiles/a43be3d9aa4dddc7ebcf770ff2a40876.phy
This subset contains the following data_blocks: (alineamiento_COI_p1, alineamiento_COI_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -1806.11893     | 3632.23786      | 3632.96154421   | 3669.76358639  
GTR+G           | -1811.66207     | 3641.32414      | 3641.91430393   | 3675.09729375  
GTR+I           | -1817.24344     | 3652.48688      | 3653.07704393   | 3686.26003375  
HKY+I+G         | -1872.18506     | 3756.37012      | 3756.64284727   | 3778.88555583  
HKY+G           | -1876.25954     | 3762.51908      | 3762.71325476   | 3781.28194319  
HKY+I           | -1886.62878     | 3783.25756      | 3783.45173476   | 3802.02042319  
SYM+G           | -1891.55011     | 3795.10022      | 3795.37294727   | 3817.61565583  
SYM+I+G         | -1889.53582     | 3793.07164      | 3793.43646085   | 3819.33964847  
SYM+I           | -1901.35076     | 3814.70152      | 3814.97424727   | 3837.21695583  
GTR             | -1921.49375     | 3858.9875       | 3859.45808824   | 3889.00808111  
F81+G           | -1953.41689     | 3914.83378      | 3914.96281226   | 3929.84407056  
F81+I+G         | -1951.86303     | 3913.72606      | 3913.92023476   | 3932.48892319  
F81+I           | -1961.85474     | 3931.70948      | 3931.83851226   | 3946.71977056  
SYM             | -1974.09679     | 3958.19358      | 3958.38775476   | 3976.95644319  
HKY             | -2020.59107     | 4049.18214      | 4049.31117226   | 4064.19243056  
K80+G           | -2040.74409     | 4085.48818      | 4085.52664154   | 4092.99332528  
K80+I+G         | -2039.86818     | 4085.73636      | 4085.81353042   | 4096.99407792  
K80+I           | -2051.96671     | 4107.93342      | 4107.97188154   | 4115.43856528  
JC+G            | -2062.0727      | 4126.1454       | 4126.15817955   | 4129.89797264  
JC+I+G          | -2061.30818     | 4126.61636      | 4126.65482154   | 4134.12150528  
JC+I            | -2072.04342     | 4146.08684      | 4146.09961955   | 4149.83941264  
F81             | -2070.97164     | 4147.94328      | 4148.02045042   | 4159.20099792  
K80             | -2139.06831     | 4280.13662      | 4280.14939955   | 4283.88919264  
JC              | -2157.65258     | 4315.30516      | 4315.30516      | 4315.30516     
