Model selection results for subset: a539f5eb310f93cc2decd60136da1b85
Subset alignment stored here: ./analysis/phylofiles/a539f5eb310f93cc2decd60136da1b85.phy
This subset contains the following data_blocks: (alineamiento_COI_p2, alineamiento_CYTB_p2, alineamiento_WG_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1287.54991     | 2593.09982      | 2593.52235521   | 2629.79860019  
HKY+G           | -1299.83026     | 2609.66052      | 2609.80005488   | 2630.04873122  
HKY+I           | -1299.98223     | 2609.96446      | 2610.10399488   | 2630.35267122  
GTR+I           | -1287.87281     | 2593.74562      | 2594.16815521   | 2630.44440019  
HKY+I+G         | -1298.15453     | 2608.30906      | 2608.5048642    | 2632.77491346  
GTR+I+G         | -1286.55739     | 2593.11478      | 2593.63242706   | 2633.89120243  
SYM+G           | -1309.90945     | 2631.8189       | 2632.0147042    | 2656.28475346  
SYM+I           | -1310.47344     | 2632.94688      | 2633.1426842    | 2657.41273346  
SYM+I+G         | -1308.04315     | 2630.0863       | 2630.34798224   | 2658.6297957   
K80+G           | -1332.18865     | 2668.3773       | 2668.40501363   | 2676.53258449  
K80+I           | -1332.28046     | 2668.56092      | 2668.58863363   | 2676.71620449  
K80+I+G         | -1330.30737     | 2666.61474      | 2666.67029556   | 2678.84766673  
F81+G           | -1338.08102     | 2684.16204      | 2684.25484742   | 2700.47260897  
F81+I           | -1338.1289      | 2684.2578       | 2684.35060742   | 2700.56836897  
F81+I+G         | -1336.50099     | 2683.00198      | 2683.14151488   | 2703.39019122  
JC+G            | -1364.99654     | 2731.99308      | 2732.00229659   | 2736.07072224  
JC+I            | -1365.07945     | 2732.1589       | 2732.16811659   | 2736.23654224  
JC+I+G          | -1363.31306     | 2730.62612      | 2730.65383363   | 2738.78140449  
GTR             | -1346.19326     | 2708.38652      | 2708.72375653   | 2741.00765795  
HKY             | -1362.08255     | 2732.1651       | 2732.25790742   | 2748.47566897  
SYM             | -1368.25462     | 2746.50924      | 2746.64877488   | 2766.89745122  
K80             | -1391.69463     | 2785.38926      | 2785.39847659   | 2789.46690224  
F81             | -1398.31272     | 2802.62544      | 2802.68099556   | 2814.85836673  
JC              | -1423.75605     | 2847.5121       | 2847.5121       | 2847.5121      
