Model selection results for subset: a6b857cc53a94a362d4f18d11f4cc924
Subset alignment stored here: ./analysis/phylofiles/a6b857cc53a94a362d4f18d11f4cc924.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_CYTB_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
F81+G           | -984.4264       | 1976.8528       | 1976.97898297   | 1991.95100618  
HKY+G           | -981.72035      | 1973.4407       | 1973.63057342   | 1992.31345773  
F81+I           | -984.88578      | 1977.77156      | 1977.89774297   | 1992.86976618  
HKY+I           | -982.21672      | 1974.43344      | 1974.62331342   | 1993.30619773  
GTR+G           | -972.1335       | 1962.267        | 1962.84392308   | 1996.23796391  
GTR+I           | -972.63558      | 1963.27116      | 1963.84808308   | 1997.24212391  
F81+I+G         | -984.3571       | 1978.7142       | 1978.90407342   | 1997.58695773  
HKY+I+G         | -981.59845      | 1975.1969       | 1975.46356667   | 1997.84420927  
GTR+I+G         | -972.1144       | 1964.2288       | 1964.9361955    | 2001.97431546  
GTR             | -1000.36593     | 2016.73186      | 2017.1919239    | 2046.92827236  
F81             | -1015.20757     | 2036.41514      | 2036.4906117    | 2047.73879464  
HKY             | -1013.54422     | 2035.08844      | 2035.21462297   | 2050.18664618  
SYM+G           | -1029.03634     | 2070.07268      | 2070.33934667   | 2092.71998927  
SYM+I           | -1029.97744     | 2071.95488      | 2072.22154667   | 2094.60218927  
SYM+I+G         | -1028.87764     | 2071.75528      | 2072.1119679    | 2098.17714082  
SYM             | -1055.8102      | 2121.6204       | 2121.81027342   | 2140.49315773  
JC+G            | -1069.2367      | 2140.4734       | 2140.4859       | 2144.24795155  
JC+I            | -1069.93304     | 2141.86608      | 2141.87858      | 2145.64063155  
JC+I+G          | -1069.09329     | 2142.18658      | 2142.22419755   | 2149.73568309  
K80+G           | -1069.2152      | 2142.4304       | 2142.46801755   | 2149.97950309  
K80+I           | -1069.91025     | 2143.8205       | 2143.85811755   | 2151.36960309  
K80+I+G         | -1069.06506     | 2144.13012      | 2144.2055917    | 2155.45377464  
JC              | -1097.11017     | 2194.22034      | 2194.22034      | 2194.22034     
K80             | -1097.10167     | 2196.20334      | 2196.21584      | 2199.97789155  
