Model selection results for subset: a7ad512e5c2ad3a67a74eb99a27a449a
Subset alignment stored here: ./analysis/phylofiles/a7ad512e5c2ad3a67a74eb99a27a449a.phy
This subset contains the following data_blocks: (alineamiento_COI_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
HKY+G           | -1190.52457     | 2391.04914      | 2391.44387684   | 2406.36211517  
HKY+I+G         | -1190.49457     | 2392.98914      | 2393.54543139   | 2411.3647102   
GTR+G           | -1187.69267     | 2393.38534      | 2394.60155622   | 2420.9486953   
HKY+I           | -1199.62789     | 2409.25578      | 2409.65051684   | 2424.56875517  
GTR+I+G         | -1187.69298     | 2395.38596      | 2396.88255864   | 2426.01191033  
HKY             | -1204.40042     | 2416.80084      | 2417.06227791   | 2429.05122013  
GTR+I           | -1197.98422     | 2413.96844      | 2415.18465622   | 2441.5317953   
GTR             | -1202.36796     | 2420.73592      | 2421.70236295   | 2445.23668026  
SYM+G           | -1298.16994     | 2608.33988      | 2608.89617139   | 2626.7154502   
SYM+I+G         | -1297.99697     | 2609.99394      | 2610.74060667   | 2631.43210523  
SYM+I           | -1306.5852      | 2625.1704       | 2625.72669139   | 2643.5459702   
F81+G           | -1317.62569     | 2643.25138      | 2643.51281791   | 2655.50176013  
F81+I+G         | -1317.48531     | 2644.97062      | 2645.36535684   | 2660.28359517  
F81+I           | -1323.85071     | 2655.70142      | 2655.96285791   | 2667.95180013  
SYM             | -1326.51208     | 2663.02416      | 2663.41889684   | 2678.33713517  
F81             | -1346.67874     | 2699.35748      | 2699.51332416   | 2708.5452651   
K80+G           | -1415.25822     | 2834.51644      | 2834.59385935   | 2840.64163007  
K80+I+G         | -1415.26837     | 2836.53674      | 2836.69258416   | 2845.7245251   
JC+G            | -1422.37278     | 2846.74556      | 2846.77120103   | 2849.80815503  
JC+I+G          | -1422.37255     | 2848.7451       | 2848.82251935   | 2854.87029007  
K80+I           | -1424.53127     | 2853.06254      | 2853.13995935   | 2859.18773007  
JC+I            | -1430.86899     | 2863.73798      | 2863.76362103   | 2866.80057503  
K80             | -1444.65325     | 2891.3065       | 2891.33214103   | 2894.36909503  
JC              | -1450.36328     | 2900.72656      | 2900.72656      | 2900.72656     
