Model selection results for subset: ad4cb2442a1c2a033ca98e4eac0c21ae
Subset alignment stored here: ./analysis/phylofiles/ad4cb2442a1c2a033ca98e4eac0c21ae.phy
This subset contains the following data_blocks: (alineamiento_COI_p1, alineamiento_WG_p3, alineamiento_CYTB_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -2162.28746     | 4342.57492      | 4342.99646567   | 4379.29431876  
GTR+I+G         | -2160.4083      | 4340.8166       | 4341.33303192   | 4381.61593195  
GTR+G           | -2178.46154     | 4374.92308      | 4375.34462567   | 4411.64247876  
HKY+I           | -2243.90801     | 4497.81602      | 4497.95523114   | 4518.21568598  
HKY+I+G         | -2242.60294     | 4497.20588      | 4497.40122884   | 4521.68547917  
HKY+G           | -2259.87851     | 4529.75702      | 4529.89623114   | 4550.15668598  
GTR             | -2313.37558     | 4642.75116      | 4643.0876086    | 4675.39062556  
SYM+G           | -2322.38364     | 4656.76728      | 4656.96262884   | 4681.24687917  
SYM+I+G         | -2319.92445     | 4653.8489       | 4654.10997226   | 4682.40843237  
SYM+I           | -2331.55882     | 4675.11764      | 4675.31298884   | 4699.59723917  
F81+G           | -2376.19401     | 4760.38802      | 4760.48061259   | 4776.70775278  
F81+I+G         | -2373.45229     | 4756.90458      | 4757.04379114   | 4777.30424598  
F81+I           | -2379.80651     | 4767.61302      | 4767.70561259   | 4783.93275278  
SYM             | -2415.26481     | 4840.52962      | 4840.66883114   | 4860.92928598  
HKY             | -2458.1801      | 4924.3602       | 4924.45279259   | 4940.67993278  
K80+G           | -2514.6446      | 5033.2892       | 5033.31684977   | 5041.44906639  
K80+I+G         | -2513.86738     | 5033.73476      | 5033.79018725   | 5045.97455959  
K80+I           | -2527.49346     | 5058.98692      | 5059.01456977   | 5067.14678639  
F81             | -2526.82502     | 5059.65004      | 5059.70546725   | 5071.88983959  
JC+G            | -2540.46681     | 5082.93362      | 5082.9428154    | 5087.0135532   
JC+I+G          | -2539.66053     | 5083.32106      | 5083.34870977   | 5091.48092639  
JC+I            | -2551.63417     | 5105.26834      | 5105.2775354    | 5109.3482732   
K80             | -2634.95729     | 5271.91458      | 5271.9237754    | 5275.9945132   
JC              | -2655.18754     | 5310.37508      | 5310.37508      | 5310.37508     
