Model selection results for subset: ae61249f61a30ced3f63f059fa1d88d2
Subset alignment stored here: ./analysis/phylofiles/ae61249f61a30ced3f63f059fa1d88d2.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_16S_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1194.22317     | 2406.44634      | 2406.96657121   | 2441.32071658  
GTR+I+G         | -1192.99761     | 2405.99522      | 2406.63290116   | 2444.74452731  
GTR+I           | -1196.97236     | 2411.94472      | 2412.46495121   | 2446.81909658  
F81+G           | -1213.3447      | 2434.6894       | 2434.80336011   | 2450.18912292  
F81+I+G         | -1211.76397     | 2433.52794      | 2433.69936857   | 2452.90259365  
HKY+G           | -1212.12042     | 2434.24084      | 2434.41226857   | 2453.61549365  
HKY+I+G         | -1210.1919      | 2432.3838       | 2432.62448768   | 2455.63338439  
F81+I           | -1216.07159     | 2440.14318      | 2440.25714011   | 2455.64290292  
HKY+I           | -1215.12875     | 2440.2575       | 2440.42892857   | 2459.63215365  
GTR             | -1256.22541     | 2528.45082      | 2528.86580559   | 2559.45026585  
F81             | -1284.69702     | 2575.39404      | 2575.46222182   | 2587.01883219  
SYM+G           | -1277.04816     | 2566.09632      | 2566.33700768   | 2589.34590439  
SYM+I+G         | -1275.48385     | 2564.9677       | 2565.28953908   | 2592.09221512  
HKY             | -1284.48229     | 2576.96458      | 2577.07854011   | 2592.46430292  
SYM+I           | -1280.75265     | 2573.5053       | 2573.74598768   | 2596.75488439  
SYM             | -1335.54418     | 2681.08836      | 2681.25978857   | 2700.46301365  
JC+G            | -1359.14586     | 2720.29172      | 2720.30301944   | 2724.16665073  
K80+G           | -1357.53476     | 2719.06952      | 2719.10351433   | 2726.81938146  
JC+I+G          | -1357.82958     | 2719.65916      | 2719.69315433   | 2727.40902146  
JC+I            | -1361.76232     | 2725.52464      | 2725.53593944   | 2729.39957073  
K80+I+G         | -1356.43272     | 2718.86544      | 2718.93362182   | 2730.49023219  
K80+I           | -1359.96583     | 2723.93166      | 2723.96565433   | 2731.68152146  
JC              | -1421.54031     | 2843.08062      | 2843.08062      | 2843.08062     
K80             | -1419.64154     | 2841.28308      | 2841.29437944   | 2845.15801073  
