Model selection results for subset: b1c71d3c2c4dfe3f53ca829a9c0246be
Subset alignment stored here: ./analysis/phylofiles/b1c71d3c2c4dfe3f53ca829a9c0246be.phy
This subset contains the following data_blocks: (alineamiento_COI_p3, alineamiento_CYTB_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
F81+I           | -555.0152       | 1118.0304       | 1118.16553514   | 1132.85884106  
HKY+I           | -552.89972      | 1115.79944      | 1116.00282983   | 1134.33499132  
F81+I+G         | -554.89541      | 1119.79082      | 1119.99420983   | 1138.32637132  
HKY+I+G         | -552.62116      | 1117.24232      | 1117.52803429   | 1139.48498159  
GTR+I           | -546.80413      | 1111.60826      | 1112.2268167    | 1144.97225238  
F81+G           | -562.34875      | 1132.6975       | 1132.83263514   | 1147.52594106  
HKY+G           | -559.89811      | 1129.79622      | 1129.99960983   | 1148.33177132  
GTR+I+G         | -546.35517      | 1112.71034      | 1113.46896069   | 1149.78144265  
GTR+G           | -553.16018      | 1124.32036      | 1124.9389167    | 1157.68435238  
F81             | -573.01172      | 1152.02344      | 1152.10424808   | 1163.14477079  
HKY             | -570.68161      | 1149.36322      | 1149.49835514   | 1164.19166106  
GTR             | -564.56365      | 1145.1273       | 1145.62045068   | 1174.78418212  
K80+I           | -594.78374      | 1193.56748      | 1193.60774846   | 1200.98170053  
JC+I            | -599.34547      | 1200.69094      | 1200.70431793   | 1204.39805026  
SYM+I           | -585.3393       | 1182.6786       | 1182.96431429   | 1204.92126159  
K80+I+G         | -594.57569      | 1195.15138      | 1195.23218808   | 1206.27271079  
SYM+I+G         | -584.70501      | 1183.41002      | 1183.79227256   | 1209.35979185  
JC+I+G          | -599.19273      | 1202.38546      | 1202.42572846   | 1209.79968053  
K80+G           | -600.95527      | 1205.91054      | 1205.95080846   | 1213.32476053  
JC+G            | -604.85464      | 1211.70928      | 1211.72265793   | 1215.41639026  
SYM+G           | -591.0975       | 1194.195        | 1194.48071429   | 1216.43766159  
K80             | -611.1141       | 1224.2282       | 1224.24157793   | 1227.93531026  
JC              | -614.85438      | 1229.70876      | 1229.70876      | 1229.70876     
SYM             | -601.63592      | 1213.27184      | 1213.47522983   | 1231.80739132  
