Model selection results for subset: b275c3370776e9ec28cd226e8d8c76d4
Subset alignment stored here: ./analysis/phylofiles/b275c3370776e9ec28cd226e8d8c76d4.phy
This subset contains the following data_blocks: (alineamiento_COI_p2, alineamiento_CYTB_p2, alineamiento_CYTB_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1222.91069     | 2463.82138      | 2464.2351731    | 2500.70404854  
GTR+I           | -1222.9803      | 2463.9606       | 2464.3743931    | 2500.84326854  
HKY+G           | -1236.64372     | 2483.28744      | 2483.42411426   | 2503.77781141  
HKY+I           | -1236.66773     | 2483.33546      | 2483.47213426   | 2503.82583141  
GTR+I+G         | -1223.023       | 2466.046        | 2466.55291244   | 2507.02674282  
HKY+I+G         | -1236.15616     | 2484.31232      | 2484.50410082   | 2508.90076569  
F81+I           | -1261.2559      | 2530.5118       | 2530.60270909   | 2546.90409713  
F81+G           | -1261.28338     | 2530.56676      | 2530.65766909   | 2546.95905713  
F81+I+G         | -1259.95155     | 2529.9031       | 2530.03977426   | 2550.39347141  
SYM+G           | -1259.78974     | 2531.57948      | 2531.77126082   | 2556.16792569  
SYM+I           | -1260.25809     | 2532.51618      | 2532.70796082   | 2557.10462569  
SYM+I+G         | -1258.7317      | 2531.4634       | 2531.71969291   | 2560.14991998  
K80+G           | -1286.37764     | 2576.75528      | 2576.78242932   | 2584.95142856  
K80+I           | -1286.41212     | 2576.82424      | 2576.85138932   | 2585.02038856  
K80+I+G         | -1285.04891     | 2576.09782      | 2576.15224177   | 2588.39204285  
GTR             | -1272.55254     | 2561.10508      | 2561.43535523   | 2593.88967426  
HKY             | -1290.94376     | 2589.88752      | 2589.97842909   | 2606.27981713  
JC+G            | -1305.68892     | 2613.37784      | 2613.38686935   | 2617.47591428  
JC+I            | -1305.72577     | 2613.45154      | 2613.46056935   | 2617.54961428  
JC+I+G          | -1304.18553     | 2612.37106      | 2612.39820932   | 2620.56720856  
SYM             | -1308.26479     | 2626.52958      | 2626.66625426   | 2647.01995141  
F81             | -1314.95009     | 2635.90018      | 2635.95460177   | 2648.19440285  
K80             | -1337.65569     | 2677.31138      | 2677.32040935   | 2681.40945428  
JC              | -1356.74667     | 2713.49334      | 2713.49334      | 2713.49334     
