Model selection results for subset: b2cf646e2cf6fe665a2a7e668c8dc404
Subset alignment stored here: ./analysis/phylofiles/b2cf646e2cf6fe665a2a7e668c8dc404.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_CYTB_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
HKY+I           | -1305.81311     | 2621.62622      | 2621.81609342   | 2640.49897773  
GTR+I           | -1295.07724     | 2608.15448      | 2608.73140308   | 2642.12544391  
GTR+I+G         | -1293.72624     | 2607.45248      | 2608.1598755    | 2645.19799546  
HKY+G           | -1311.71623     | 2633.43246      | 2633.62233342   | 2652.30521773  
GTR+G           | -1301.82841     | 2621.65682      | 2622.23374308   | 2655.62778391  
HKY+I+G         | -1311.71737     | 2635.43474      | 2635.70140667   | 2658.08204927  
F81+I           | -1378.35125     | 2764.7025       | 2764.82868297   | 2779.80070618  
F81+G           | -1381.52563     | 2771.05126      | 2771.17744297   | 2786.14946618  
F81+I+G         | -1381.52617     | 2773.05234      | 2773.24221342   | 2791.92509773  
GTR             | -1411.82602     | 2839.65204      | 2840.1121039    | 2869.84845236  
HKY             | -1438.09635     | 2884.1927       | 2884.31888297   | 2899.29090618  
SYM+I           | -1453.56219     | 2919.12438      | 2919.39104667   | 2941.77168927  
SYM+I+G         | -1451.57802     | 2917.15604      | 2917.5127279    | 2943.57790082  
SYM+G           | -1455.78453     | 2923.56906      | 2923.83572667   | 2946.21636927  
F81             | -1483.89653     | 2973.79306      | 2973.8685317    | 2985.11671464  
K80+G           | -1513.45783     | 3030.91566      | 3030.95327755   | 3038.46476309  
K80+I           | -1513.60601     | 3031.21202      | 3031.24963755   | 3038.76112309  
K80+I+G         | -1514.05984     | 3034.11968      | 3034.1951517    | 3045.44333464  
JC+I            | -1525.1699      | 3052.3398       | 3052.3523       | 3056.11435155  
JC+G            | -1525.31364     | 3052.62728      | 3052.63978      | 3056.40183155  
JC+I+G          | -1525.89205     | 3055.7841       | 3055.82171755   | 3063.33320309  
SYM             | -1543.04987     | 3096.09974      | 3096.28961342   | 3114.97249773  
K80             | -1606.49756     | 3214.99512      | 3215.00762      | 3218.76967155  
JC              | -1615.18602     | 3230.37204      | 3230.37204      | 3230.37204     
