Model selection results for subset: b425f19f9555f433922259e9b3efa458
Subset alignment stored here: ./analysis/phylofiles/b425f19f9555f433922259e9b3efa458.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_16S_p1, alineamiento_CYTB_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1539.68322     | 3097.36644      | 3097.73453816   | 3135.27989486  
GTR+I           | -1541.10361     | 3100.20722      | 3100.57531816   | 3138.12067486  
GTR+I+G         | -1539.13552     | 3098.27104      | 3098.72185967   | 3140.39710096  
F81+G           | -1563.42667     | 3134.85334      | 3134.93431166   | 3151.70376438  
HKY+G           | -1561.22164     | 3132.44328      | 3132.56498385   | 3153.50631048  
F81+I+G         | -1561.57023     | 3133.14046      | 3133.26216385   | 3154.20349048  
F81+I           | -1565.14535     | 3138.2907       | 3138.37167166   | 3155.14112438  
HKY+I+G         | -1559.25189     | 3130.50378      | 3130.67451171   | 3155.77941657  
HKY+I           | -1563.32364     | 3136.64728      | 3136.76898385   | 3157.71031048  
GTR             | -1643.36573     | 3302.73146      | 3303.02533755   | 3336.43230877  
SYM+G           | -1649.70027     | 3311.40054      | 3311.57127171   | 3336.67617657  
SYM+I+G         | -1648.49049     | 3310.98098      | 3311.20908591   | 3340.46922267  
SYM+I           | -1652.25706     | 3316.51412      | 3316.68485171   | 3341.78975657  
F81             | -1672.67343     | 3351.34686      | 3351.39534485   | 3363.98467829  
HKY             | -1672.3455      | 3352.691        | 3352.77197166   | 3369.54142438  
JC+G            | -1728.43346     | 3458.86692      | 3458.87496829   | 3463.0795261   
JC+I+G          | -1726.43718     | 3456.87436      | 3456.89855355   | 3465.29957219  
K80+G           | -1726.78849     | 3457.57698      | 3457.60117355   | 3466.00219219  
JC+I            | -1730.17223     | 3462.34446      | 3462.35250829   | 3466.5570661   
K80+I+G         | -1724.95927     | 3455.91854      | 3455.96702485   | 3468.55635829  
K80+I           | -1728.46013     | 3460.92026      | 3460.94445355   | 3469.34547219  
SYM             | -1740.41252     | 3490.82504      | 3490.94674385   | 3511.88807048  
JC              | -1822.82384     | 3645.64768      | 3645.64768      | 3645.64768     
K80             | -1820.89577     | 3643.79154      | 3643.79958829   | 3648.0041461   
