Model selection results for subset: b5cf06900ff68b059436e59326d5dc2b
Subset alignment stored here: ./analysis/phylofiles/b5cf06900ff68b059436e59326d5dc2b.phy
This subset contains the following data_blocks: (alineamiento_CYTB_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
F81+G           | -361.57937      | 731.15874       | 731.446509784   | 743.037993198  
F81+I           | -361.58003      | 731.16006       | 731.447829784   | 743.039313198  
HKY+G           | -359.82682      | 729.65364       | 730.088422609   | 744.502706498  
HKY+I           | -359.83036      | 729.66072       | 730.095502609   | 744.509786498  
F81+I+G         | -361.60883      | 733.21766       | 733.652442609   | 748.066726498  
HKY+I+G         | -359.82552      | 731.65104       | 732.264178686   | 749.469919797  
F81             | -368.59906      | 743.19812       | 743.369548571   | 752.107559899  
HKY             | -367.20224      | 742.40448       | 742.692249784   | 754.283733198  
GTR+G           | -357.77978      | 733.55956       | 734.902843582   | 760.287879696  
GTR+I+G         | -357.7793       | 735.5586        | 737.212735338   | 765.256732996  
JC+I            | -380.41817      | 762.83634       | 762.864509014   | 765.8061533    
JC+G            | -380.42452      | 762.84904       | 762.877209014   | 765.8188533    
K80+I           | -379.8446       | 763.6892        | 763.774306383   | 769.628826599  
K80+G           | -379.85203      | 763.70406       | 763.789166383   | 769.643686599  
GTR             | -364.95143      | 745.90286       | 746.969526667   | 769.661366397  
JC+I+G          | -380.4564       | 764.9128        | 764.997906383   | 770.852426599  
GTR+I           | -363.34376      | 744.68752       | 746.030803582   | 771.415839696  
JC              | -386.75093      | 773.50186       | 773.50186       | 773.50186      
K80+I+G         | -379.88827      | 765.77654       | 765.947968571   | 774.685979899  
K80             | -386.18656      | 774.37312       | 774.401289014   | 777.3429333    
SYM+I           | -373.96465      | 759.9293        | 760.542438686   | 777.748179797  
SYM+G           | -373.97685      | 759.9537        | 760.566838686   | 777.772579797  
SYM+I+G         | -373.9764       | 761.9528        | 762.776329412   | 782.741493097  
SYM             | -380.71612      | 771.43224       | 771.867022609   | 786.281306498  
