Model selection results for subset: b5efc4e47ad84f124c6194614002f61f
Subset alignment stored here: ./analysis/phylofiles/b5efc4e47ad84f124c6194614002f61f.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_16S_p1, alineamiento_COI_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -2472.96        | 4965.92         | 4966.35824701   | 5008.32275845  
GTR+G           | -2478.87479     | 4975.74958      | 4976.10743288   | 5013.91206261  
GTR+I           | -2484.41893     | 4986.83786      | 4987.19571288   | 5025.00034261  
HKY+I+G         | -2494.02749     | 5000.05498      | 5000.22098791   | 5025.49663507  
HKY+G           | -2499.23289     | 5008.46578      | 5008.5841232    | 5029.66715923  
HKY+I           | -2507.15899     | 5024.31798      | 5024.4363232    | 5045.51935923  
F81+G           | -2562.71048     | 5133.42096      | 5133.49970016   | 5150.38206338  
F81+I+G         | -2563.27369     | 5136.54738      | 5136.6657232    | 5157.74875923  
F81+I           | -2571.26243     | 5150.52486      | 5150.60360016   | 5167.48596338  
SYM+I+G         | -2675.31091     | 5364.62182      | 5364.84360218   | 5394.30375092  
SYM+G           | -2678.77287     | 5369.54574      | 5369.71174791   | 5394.98739507  
GTR             | -2680.99381     | 5377.98762      | 5378.27333429   | 5411.90982676  
SYM+I           | -2688.60428     | 5389.20856      | 5389.37456791   | 5414.65021507  
HKY             | -2718.76141     | 5445.52282      | 5445.60156016   | 5462.48392338  
F81             | -2751.85653     | 5509.71306      | 5509.76021128   | 5522.43388754  
JC+G            | -2817.89021     | 5637.78042      | 5637.78824779   | 5642.02069585  
K80+G           | -2816.64419     | 5637.28838      | 5637.31190941   | 5645.76893169  
JC+I+G          | -2817.68881     | 5639.37762      | 5639.40114941   | 5647.85817169  
K80+I+G         | -2816.13743     | 5638.27486      | 5638.32201128   | 5650.99568754  
JC+I            | -2830.32912     | 5662.65824      | 5662.66606779   | 5666.89851585  
K80+I           | -2829.41454     | 5662.82908      | 5662.85260941   | 5671.30963169  
SYM             | -2826.0186      | 5662.0372       | 5662.1555432    | 5683.23857923  
JC              | -2973.7931      | 5947.5862       | 5947.5862       | 5947.5862      
K80             | -2973.33395     | 5948.6679       | 5948.67572779   | 5952.90817585  
