Model selection results for subset: b633f8207c62ce7753bc8bb79c6c7d8a
Subset alignment stored here: ./analysis/phylofiles/b633f8207c62ce7753bc8bb79c6c7d8a.phy
This subset contains the following data_blocks: (alineamiento_CYTB_p1, alineamiento_COI_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -989.02701      | 1996.05402      | 1996.67045836   | 2029.44786316  
GTR+I           | -990.62786      | 1999.25572      | 1999.87215836   | 2032.64956316  
GTR+I+G         | -989.02848      | 1998.05696      | 1998.81297375   | 2035.16123017  
HKY+G           | -1005.71751     | 2021.43502      | 2021.6377227    | 2039.98715509  
HKY+I           | -1008.02546     | 2026.05092      | 2026.2536227    | 2044.60305509  
HKY+I+G         | -1005.71916     | 2023.43832      | 2023.72306576   | 2045.7008821   
F81+G           | -1049.12423     | 2106.24846      | 2106.38314013   | 2121.09016807  
F81+I           | -1049.90828     | 2107.81656      | 2107.95124013   | 2122.65826807  
F81+I+G         | -1049.125       | 2108.25         | 2108.4527027    | 2126.80213509  
SYM+G           | -1072.16917     | 2156.33834      | 2156.62308576   | 2178.6009021   
SYM+I           | -1072.54922     | 2157.09844      | 2157.38318576   | 2179.3610021   
SYM+I+G         | -1072.1702      | 2158.3404       | 2158.72135238   | 2184.31338912  
K80+G           | -1130.14448     | 2264.28896      | 2264.32909378   | 2271.70981403  
K80+I           | -1130.51607     | 2265.03214      | 2265.07227378   | 2272.45299403  
K80+I+G         | -1130.14531     | 2266.29062      | 2266.37115691   | 2277.42190105  
GTR             | -1120.96961     | 2257.93922      | 2258.43068758   | 2287.62263614  
HKY             | -1149.07749     | 2306.15498      | 2306.28966013   | 2320.99668807  
JC+G            | -1160.72198     | 2323.44396      | 2323.45729333   | 2327.15438702  
JC+I            | -1160.96235     | 2323.9247       | 2323.93803333   | 2327.63512702  
JC+I+G          | -1160.72253     | 2325.44506      | 2325.48519378   | 2332.86591403  
F81             | -1175.0198      | 2356.0396       | 2356.12013691   | 2367.17088105  
SYM             | -1180.03038     | 2370.06076      | 2370.2634627    | 2388.61289509  
K80             | -1240.58858     | 2483.17716      | 2483.19049333   | 2486.88758702  
JC              | -1265.35488     | 2530.70976      | 2530.70976      | 2530.70976     
