Model selection results for subset: b76179fc84948322d4ed4f49252e9091
Subset alignment stored here: ./analysis/phylofiles/b76179fc84948322d4ed4f49252e9091.phy
This subset contains the following data_blocks: (alineamiento_CYTB_p1, alineamiento_WG_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -947.81923      | 1913.63846      | 1914.30760498   | 1946.31936604  
GTR+G           | -954.77835      | 1927.5567       | 1928.22584498   | 1960.23760604  
GTR+I+G         | -954.78143      | 1929.56286      | 1930.38375552   | 1965.87497782  
SYM+I           | -992.72191      | 1997.44382      | 1997.75264353   | 2019.23109069  
SYM+G           | -996.30343      | 2004.60686      | 2004.91568353   | 2026.39413069  
HKY+I           | -1001.72342     | 2013.44684      | 2013.66662022   | 2031.60289891  
SYM+I+G         | -996.30479      | 2006.60958      | 2007.02286413   | 2032.02806247  
HKY+G           | -1002.40357     | 2014.80714      | 2015.02692022   | 2032.96319891  
HKY+I+G         | -1002.40103     | 2016.80206      | 2017.11088353   | 2038.58933069  
F81+I           | -1046.60569     | 2101.21138      | 2101.3573654    | 2115.73622713  
F81+G           | -1047.26053     | 2102.52106      | 2102.6670454    | 2117.04590713  
F81+I+G         | -1047.26108     | 2104.52216      | 2104.74194022   | 2122.67821891  
K80+I           | -1061.09023     | 2126.18046      | 2126.22393826   | 2133.44288356  
K80+G           | -1061.7207      | 2127.4414       | 2127.48487826   | 2134.70382356  
GTR             | -1047.34199     | 2110.68398      | 2111.21731333   | 2139.73367425  
K80+I+G         | -1061.72121     | 2129.44242      | 2129.52969273   | 2140.33605535  
SYM             | -1063.41563     | 2136.83126      | 2137.05104022   | 2154.98731891  
JC+I            | -1084.36602     | 2170.73204      | 2170.74648043   | 2174.36325178  
JC+G            | -1085.06278     | 2172.12556      | 2172.14000043   | 2175.75677178  
JC+I+G          | -1085.06327     | 2174.12654      | 2174.17001826   | 2181.38896356  
HKY             | -1129.61655     | 2267.2331       | 2267.3790854    | 2281.75794713  
K80             | -1155.66923     | 2313.33846      | 2313.35290043   | 2316.96967178  
F81             | -1151.625       | 2309.25         | 2309.33727273   | 2320.14363535  
JC              | -1174.13323     | 2348.26646      | 2348.26646      | 2348.26646     
