Model selection results for subset: b99523383ea90d31d827b471dd18e9e0
Subset alignment stored here: ./analysis/phylofiles/b99523383ea90d31d827b471dd18e9e0.phy
This subset contains the following data_blocks: (alineamiento_COI_p2, alineamiento_WG_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -756.58201      | 1531.16402      | 1531.8045894    | 1564.2239294   
GTR+G           | -757.7376       | 1533.4752       | 1534.1157694    | 1566.5351094   
SYM+I           | -766.59551      | 1545.19102      | 1545.48679465   | 1567.2309596   
SYM+I+G         | -764.21619      | 1542.43238      | 1542.82813972   | 1568.14564287  
GTR+I+G         | -756.32834      | 1532.65668      | 1533.44239429   | 1569.38991267  
SYM+G           | -767.90565      | 1547.8113       | 1548.10707465   | 1569.8512396   
HKY+I           | -780.00654      | 1570.01308      | 1570.22360632   | 1588.37969634  
HKY+I+G         | -778.02217      | 1568.04434      | 1568.34011465   | 1590.0842796   
K80+I           | -789.50576      | 1583.01152      | 1583.05318667   | 1590.35816653  
K80+I+G         | -787.46774      | 1580.93548      | 1581.01910369   | 1591.9554498   
HKY+G           | -786.02884      | 1582.05768      | 1582.26820632   | 1600.42429634  
K80+G           | -794.90422      | 1593.80844      | 1593.85010667   | 1601.15508653  
JC+I            | -813.82537      | 1629.65074      | 1629.66458083   | 1633.32406327  
JC+I+G          | -811.73883      | 1627.47766      | 1627.51932667   | 1634.82430653  
F81+I           | -808.9053       | 1625.8106       | 1625.95046014   | 1640.50389307  
F81+I+G         | -807.27122      | 1624.54244      | 1624.75296632   | 1642.90905634  
JC+G            | -819.24402      | 1640.48804      | 1640.50188083   | 1644.16136327  
F81+G           | -814.34386      | 1636.68772      | 1636.82758014   | 1651.38101307  
SYM             | -817.33875      | 1644.6775       | 1644.88802632   | 1663.04411634  
GTR             | -809.45899      | 1634.91798      | 1635.4286183    | 1664.30456614  
K80             | -848.36547      | 1698.73094      | 1698.74478083   | 1702.40426327  
HKY             | -842.78722      | 1693.57444      | 1693.71430014   | 1708.26773307  
JC              | -871.94303      | 1743.88606      | 1743.88606      | 1743.88606     
F81             | -867.32381      | 1740.64762      | 1740.73124369   | 1751.6675898   
