Model selection results for subset: b9c1b4a2cf986ba138538b5a7daa61fd
Subset alignment stored here: ./analysis/phylofiles/b9c1b4a2cf986ba138538b5a7daa61fd.phy
This subset contains the following data_blocks: (alineamiento_CYTB_p1, alineamiento_16S_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -1287.87817     | 2593.75634      | 2594.33141987   | 2627.75521091  
GTR+G           | -1290.67322     | 2599.34644      | 2599.92151987   | 2633.34531091  
HKY+G           | -1303.4672      | 2616.9344       | 2617.12367445   | 2635.82266162  
GTR+I+G         | -1290.67486     | 2601.34972      | 2602.05484821   | 2639.12624323  
HKY+I+G         | -1303.46735     | 2618.9347       | 2619.20052278   | 2641.60061394  
HKY+I           | -1306.88044     | 2623.76088      | 2623.95015445   | 2642.64914162  
F81+G           | -1364.47354     | 2736.94708      | 2737.07286616   | 2752.05768929  
F81+I           | -1367.26489     | 2742.52978      | 2742.65556616   | 2757.64038929  
F81+I+G         | -1364.47473     | 2738.94946      | 2739.13873445   | 2757.83772162  
GTR             | -1406.75571     | 2829.51142      | 2829.97001873   | 2859.73263859  
HKY             | -1428.12448     | 2864.24896      | 2864.37474616   | 2879.35956929  
SYM+G           | -1440.77058     | 2893.54116      | 2893.80698278   | 2916.20707394  
SYM+I           | -1441.23208     | 2894.46416      | 2894.72998278   | 2917.13007394  
SYM+I+G         | -1441.04573     | 2896.09146      | 2896.44701556   | 2922.53502626  
F81             | -1467.47311     | 2940.94622      | 2941.02145511   | 2952.27917697  
K80+G           | -1506.5615      | 3017.123        | 3017.1605       | 3024.67830465  
K80+I+G         | -1506.56221     | 3019.12442      | 3019.19965511   | 3030.45737697  
K80+I           | -1512.51099     | 3029.02198      | 3029.05948      | 3036.57728465  
JC+G            | -1517.46305     | 3036.9261       | 3036.93856106   | 3040.70375232  
JC+I+G          | -1517.46329     | 3038.92658      | 3038.96408      | 3046.48188465  
JC+I            | -1522.45711     | 3046.91422      | 3046.92668106   | 3050.69187232  
SYM             | -1527.61635     | 3065.2327       | 3065.42197445   | 3084.12096162  
K80             | -1599.31755     | 3200.6351       | 3200.64756106   | 3204.41275232  
JC              | -1606.49821     | 3212.99642      | 3212.99642      | 3212.99642     
