Model selection results for subset: babffbf52fc4c2bcf9b73dee3264354c
Subset alignment stored here: ./analysis/phylofiles/babffbf52fc4c2bcf9b73dee3264354c.phy
This subset contains the following data_blocks: (alineamiento_WG_p2, alineamiento_CYTB_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
JC+I            | -526.39809      | 1054.79618      | 1054.81067275   | 1058.42380111  
K80+I           | -526.31927      | 1056.63854      | 1056.68217636   | 1063.89378223  
JC+I+G          | -526.76985      | 1057.5397       | 1057.58333636   | 1064.79494223  
SYM+I           | -515.53891      | 1043.07782      | 1043.3877831    | 1064.84354668  
F81+I           | -521.39569      | 1050.79138      | 1050.93790015   | 1065.30186445  
K80+I+G         | -526.68721      | 1059.37442      | 1059.46201124   | 1070.25728334  
SYM+I+G         | -515.52728      | 1045.05456      | 1045.46937481   | 1070.4479078   
HKY+I           | -521.3425       | 1052.685        | 1052.90558824   | 1070.82310557  
F81+I+G         | -521.83593      | 1053.67186      | 1053.89244824   | 1071.80996557  
JC+G            | -533.35771      | 1068.71542      | 1068.72991275   | 1072.34304111  
GTR+I           | -511.22637      | 1040.45274      | 1041.12438179   | 1073.10133002  
SYM+G           | -521.28096      | 1054.56192      | 1054.8718831    | 1076.32764668  
HKY+I+G         | -521.76856      | 1055.53712      | 1055.8470831    | 1077.30284668  
K80+G           | -533.33569      | 1070.67138      | 1070.71501636   | 1077.92662223  
GTR+I+G         | -511.20728      | 1042.41456      | 1043.23853004   | 1078.69077114  
F81+G           | -528.5386       | 1065.0772       | 1065.22372015   | 1079.58768445  
JC              | -542.18496      | 1084.36992      | 1084.36992      | 1084.36992     
GTR+G           | -516.90519      | 1051.81038      | 1052.48202179   | 1084.45897002  
HKY+G           | -528.51376      | 1067.02752      | 1067.24810824   | 1085.16562557  
SYM             | -530.37673      | 1070.75346      | 1070.97404824   | 1088.89156557  
K80             | -542.17075      | 1086.3415       | 1086.35599275   | 1089.96912111  
F81             | -537.4376       | 1080.8752       | 1080.96279124   | 1091.75806334  
HKY             | -537.41824      | 1082.83648      | 1082.98300015   | 1097.34696445  
GTR             | -526.19969      | 1068.39938      | 1068.93469599   | 1097.42034891  
