Model selection results for subset: bbd5f082e0c918d9194f3e78b42f7e67
Subset alignment stored here: ./analysis/phylofiles/bbd5f082e0c918d9194f3e78b42f7e67.phy
This subset contains the following data_blocks: (alineamiento_COI_p2, alineamiento_WG_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
SYM+I           | -776.95878      | 1565.91756      | 1566.21333465   | 1587.9574996   
SYM+I+G         | -774.31422      | 1562.62844      | 1563.02419972   | 1588.34170287  
SYM+G           | -778.22243      | 1568.44486      | 1568.74063465   | 1590.4847996   
GTR+I           | -773.47635      | 1564.9527       | 1565.5932694    | 1598.0126094   
GTR+I+G         | -771.63192      | 1563.26384      | 1564.04955429   | 1599.99707267  
GTR+G           | -774.66031      | 1567.32062      | 1567.9611894    | 1600.3805294   
K80+I           | -801.06101      | 1606.12202      | 1606.16368667   | 1613.46866653  
K80+I+G         | -798.88595      | 1603.7719       | 1603.85552369   | 1614.7918698   
K80+G           | -806.31944      | 1616.63888      | 1616.68054667   | 1623.98552653  
HKY+I           | -799.34735      | 1608.6947       | 1608.90522632   | 1627.06131634  
HKY+I+G         | -797.18934      | 1606.37868      | 1606.67445465   | 1628.4186196   
HKY+G           | -805.19406      | 1620.38812      | 1620.59864632   | 1638.75473634  
JC+I            | -823.06093      | 1648.12186      | 1648.13570083   | 1651.79518327  
JC+I+G          | -821.00783      | 1646.01566      | 1646.05732667   | 1653.36230653  
JC+G            | -828.32477      | 1658.64954      | 1658.66338083   | 1662.32286327  
F81+I           | -824.13978      | 1656.27956      | 1656.41942014   | 1670.97285307  
F81+I+G         | -822.44887      | 1654.89774      | 1655.10826632   | 1673.26435634  
F81+G           | -829.41526      | 1666.83052      | 1666.97038014   | 1681.52381307  
SYM             | -830.80269      | 1671.60538      | 1671.81590632   | 1689.97199634  
GTR             | -828.9562       | 1673.9124       | 1674.4230383    | 1703.29898614  
K80             | -862.81657      | 1727.63314      | 1727.64698083   | 1731.30646327  
HKY             | -863.95401      | 1735.90802      | 1736.04788014   | 1750.60131307  
JC              | -883.97602      | 1767.95204      | 1767.95204      | 1767.95204     
F81             | -885.08282      | 1776.16564      | 1776.24926369   | 1787.1856098   
