Model selection results for subset: be5509c1f6b15b81fc8978d048e6ebf9
Subset alignment stored here: ./analysis/phylofiles/be5509c1f6b15b81fc8978d048e6ebf9.phy
This subset contains the following data_blocks: (alineamiento_COI_p1, alineamiento_WG_p3, alineamiento_WG_p2, alineamiento_CYTB_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -2455.10141     | 4928.20282      | 4928.52367561   | 4967.32932289  
GTR+I+G         | -2453.17378     | 4926.34756      | 4926.74041714   | 4969.8214521   
GTR+G           | -2469.11686     | 4956.23372      | 4956.55457561   | 4995.36022289  
SYM+I+G         | -2567.90539     | 5149.81078      | 5150.00971428   | 5180.24250447  
SYM+G           | -2572.33708     | 5156.67416      | 5156.82309617   | 5182.75849526  
SYM+I           | -2580.03591     | 5172.07182      | 5172.22075617   | 5198.15615526  
HKY+I           | -2597.54057     | 5205.08114      | 5205.18733469   | 5226.81808605  
HKY+G           | -2599.65266     | 5209.30532      | 5209.41151469   | 5231.04226605  
HKY+I+G         | -2599.6525      | 5211.305        | 5211.45393617   | 5237.38933526  
GTR             | -2662.58626     | 5341.17252      | 5341.42874776   | 5375.95163368  
F81+G           | -2682.47064     | 5372.94128      | 5373.01195138   | 5390.33083684  
F81+I+G         | -2682.46799     | 5374.93598      | 5375.04217469   | 5396.67292605  
F81+I           | -2688.35023     | 5384.70046      | 5384.77113138   | 5402.09001684  
SYM             | -2707.15851     | 5424.31702      | 5424.42321469   | 5446.05396605  
K80+G           | -2774.5739      | 5553.1478       | 5553.16892676   | 5561.84257842  
K80+I+G         | -2774.28605     | 5554.5721       | 5554.61442804   | 5567.61426763  
K80+I           | -2786.82357     | 5577.64714      | 5577.66826676   | 5586.34191842  
JC+G            | -2799.40101     | 5600.80202      | 5600.80904988   | 5605.14940921  
JC+I+G          | -2799.51716     | 5603.03432      | 5603.05544676   | 5611.72909842  
JC+I            | -2810.37972     | 5622.75944      | 5622.76646988   | 5627.10682921  
HKY             | -2859.87006     | 5727.74012      | 5727.81079138   | 5745.12967684  
F81             | -2895.20043     | 5796.40086      | 5796.44318804   | 5809.44302763  
K80             | -2953.83118     | 5909.66236      | 5909.66938988   | 5914.00974921  
JC              | -2972.62833     | 5945.25666      | 5945.25666      | 5945.25666     
