Model selection results for subset: c506c7a7bb53c0ffb3bee7a8f53bceae
Subset alignment stored here: ./analysis/phylofiles/c506c7a7bb53c0ffb3bee7a8f53bceae.phy
This subset contains the following data_blocks: (alineamiento_COI, alineamiento_CYTB, alineamiento_WG)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -4425.63384     | 8869.26768      | 8869.40635488   | 8915.85397079  
GTR+I+G         | -4424.05702     | 8868.11404      | 8868.28366221   | 8919.87658532  
GTR+I           | -4432.81496     | 8883.62992      | 8883.76859488   | 8930.21621079  
TIM+I+G         | -4452.50624     | 8921.01248      | 8921.1233345    | 8962.42251626  
TIM+G           | -4460.61497     | 8935.22994      | 8935.31609385   | 8971.46372172  
TIM+I           | -4467.85166     | 8949.70332      | 8949.78947385   | 8985.93710172  
TrN+G           | -4483.15743     | 8978.31486      | 8978.37942572   | 9009.37238719  
TrN+I+G         | -4480.48017     | 8974.96034      | 8975.04649385   | 9011.19412172  
TrN+I           | -4491.29604     | 8994.59208      | 8994.65664572   | 9025.64960719  
TVM+I+G         | -4496.45334     | 9010.90668      | 9011.04535488   | 9057.49297079  
TVM+G           | -4507.31453     | 9030.62906      | 9030.7399145    | 9072.03909626  
TVM+I           | -4513.93252     | 9043.86504      | 9043.9758945    | 9085.27507626  
K81uf+I+G       | -4519.43539     | 9052.87078      | 9052.95693385   | 9089.10456172  
K81uf+G         | -4530.62822     | 9073.25644      | 9073.32100572   | 9104.31396719  
K81uf+I         | -4536.25417     | 9084.50834      | 9084.57290572   | 9115.56586719  
HKY+I+G         | -4537.78021     | 9087.56042      | 9087.62498572   | 9118.61794719  
HKY+G           | -4548.67667     | 9107.35334      | 9107.39942295   | 9133.23461266  
HKY+I           | -4554.49573     | 9118.99146      | 9119.03754295   | 9144.87273266  
SYM+I+G         | -4547.63148     | 9109.26296      | 9109.34911385   | 9145.49674172  
SYM+G           | -4556.02453     | 9124.04906      | 9124.11362572   | 9155.10658719  
SYM+I           | -4563.87975     | 9139.7595       | 9139.82406572   | 9170.81702719  
TIMef+I+G       | -4619.76499     | 9249.52998      | 9249.57606295   | 9275.41125266  
TIMef+G         | -4627.50362     | 9263.00724      | 9263.03793839   | 9283.71225813  
TIMef+I         | -4633.21847     | 9274.43694      | 9274.46763839   | 9295.14195813  
F81+I+G         | -4632.52814     | 9275.05628      | 9275.10236295   | 9300.93755266  
F81+G           | -4643.10031     | 9294.20062      | 9294.23131839   | 9314.90563813  
TVMef+I+G       | -4641.18361     | 9294.36722      | 9294.43178572   | 9325.42474719  
F81+I           | -4648.94061     | 9305.88122      | 9305.91191839   | 9326.58623813  
TVMef+G         | -4651.35607     | 9312.71214      | 9312.75822295   | 9338.59341266  
TVMef+I         | -4663.82889     | 9337.65778      | 9337.70386295   | 9363.53905266  
TrNef+I+G       | -4670.83723     | 9349.67446      | 9349.70515839   | 9370.37947813  
TrNef+G         | -4679.23763     | 9364.47526      | 9364.49366491   | 9380.0040236   
TrNef+I         | -4685.64779     | 9377.29558      | 9377.31398491   | 9392.8243436   
K81+I+G         | -4705.29373     | 9418.58746      | 9418.61815839   | 9439.29247813  
K81+G           | -4715.08557     | 9436.17114      | 9436.18954491   | 9451.6999036   
K81+I           | -4721.55481     | 9449.10962      | 9449.12802491   | 9464.6383836   
K80+I+G         | -4757.60142     | 9521.20284      | 9521.22124491   | 9536.7316036   
K80+G           | -4768.63068     | 9541.26136      | 9541.2705554    | 9551.61386906  
K80+I           | -4774.8382      | 9553.6764       | 9553.6855954    | 9564.02890906  
GTR             | -4762.44284     | 9540.88568      | 9540.9965345    | 9582.29571626  
JC+I+G          | -4813.33874     | 9630.67748      | 9630.6866754    | 9641.02998906  
JC+G            | -4821.72496     | 9645.44992      | 9645.45298279   | 9650.62617453  
JC+I            | -4827.45635     | 9656.9127       | 9656.91576279   | 9662.08895453  
TIM             | -4811.95512     | 9635.91024      | 9635.97480572   | 9666.96776719  
TVM             | -4830.98006     | 9675.96012      | 9676.04627385   | 9712.19390172  
SYM             | -4840.42882     | 9690.85764      | 9690.90372295   | 9716.73891266  
TrN             | -4852.51731     | 9715.03462      | 9715.08070295   | 9740.91589266  
K81uf           | -4880.82272     | 9771.64544      | 9771.69152295   | 9797.52671266  
HKY             | -4920.78458     | 9849.56916      | 9849.59985839   | 9870.27417813  
TVMef           | -4924.4932      | 9856.9864       | 9857.01709839   | 9877.69141813  
TIMef           | -4933.65096     | 9873.30192      | 9873.32032491   | 9888.8306836   
F81             | -4982.83659     | 9971.67318      | 9971.69158491   | 9987.2019436   
TrNef           | -4993.21912     | 9990.43824      | 9990.4474354    | 10000.7907491  
K81             | -5017.11179     | 10038.22358     | 10038.2327754   | 10048.5760891  
K80             | -5076.59492     | 10155.18984     | 10155.1929028   | 10160.3660945  
JC              | -5122.77219     | 10245.54438     | 10245.54438     | 10245.54438    
