Model selection results for subset: c5475d26e32d96f77ed084dd09ac40b9
Subset alignment stored here: ./analysis/phylofiles/c5475d26e32d96f77ed084dd09ac40b9.phy
This subset contains the following data_blocks: (alineamiento_WG_p1, alineamiento_CYTB_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
HKY+I           | -666.97754      | 1343.95508      | 1344.17486022   | 1362.11113891  
HKY+G           | -667.1944       | 1344.3888       | 1344.60858022   | 1362.54485891  
HKY+I+G         | -666.5668       | 1345.1336       | 1345.44242353   | 1366.92087069  
GTR+I           | -661.72237      | 1341.44474      | 1342.11388498   | 1374.12564604  
GTR+G           | -661.98922      | 1341.97844      | 1342.64758498   | 1374.65934604  
F81+I           | -676.16347      | 1360.32694      | 1360.4729254    | 1374.85178713  
F81+G           | -676.37883      | 1360.75766      | 1360.9036454    | 1375.28250713  
GTR+I+G         | -661.01898      | 1342.03796      | 1342.85885552   | 1378.35007782  
F81+I+G         | -675.98899      | 1361.97798      | 1362.19776022   | 1380.13403891  
HKY             | -680.63076      | 1369.26152      | 1369.4075054    | 1383.78636713  
K80+I           | -687.21301      | 1378.42602      | 1378.46949826   | 1385.68844356  
K80+G           | -687.66251      | 1379.32502      | 1379.36849826   | 1386.58744356  
K80+I+G         | -686.79946      | 1379.59892      | 1379.68619273   | 1390.49255535  
F81             | -689.73219      | 1385.46438      | 1385.55165273   | 1396.35801535  
GTR             | -675.74569      | 1367.49138      | 1368.02471333   | 1396.54107425  
SYM+I           | -682.13941      | 1376.27882      | 1376.58764353   | 1398.06609069  
SYM+G           | -682.64019      | 1377.28038      | 1377.58920353   | 1399.06765069  
JC+I            | -697.30309      | 1396.60618      | 1396.62062043   | 1400.23739178  
JC+G            | -697.67971      | 1397.35942      | 1397.37386043   | 1400.99063178  
SYM+I+G         | -681.32971      | 1376.65942      | 1377.07270413   | 1402.07790247  
JC+I+G          | -697.07284      | 1398.14568      | 1398.18915826   | 1405.40810356  
K80             | -701.77944      | 1405.55888      | 1405.57332043   | 1409.19009178  
SYM             | -697.07582      | 1404.15164      | 1404.37142022   | 1422.30769891  
JC              | -711.56473      | 1423.12946      | 1423.12946      | 1423.12946     
