Model selection results for subset: c5d0ae8d0b6b72c1f13eead640ba0d41
Subset alignment stored here: ./analysis/phylofiles/c5d0ae8d0b6b72c1f13eead640ba0d41.phy
This subset contains the following data_blocks: (alineamiento_COI_p1, alineamiento_CYTB_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -1604.66807     | 3229.33614      | 3230.09215375   | 3266.44041017  
GTR+G           | -1607.54733     | 3233.09466      | 3233.71109836   | 3266.48850316  
GTR+I           | -1608.87429     | 3235.74858      | 3236.36501836   | 3269.14242316  
HKY+G           | -1640.13359     | 3290.26718      | 3290.4698827    | 3308.81931509  
HKY+I+G         | -1638.91753     | 3289.83506      | 3290.11980576   | 3312.0976221   
HKY+I           | -1644.83061     | 3299.66122      | 3299.8639227    | 3318.21335509  
GTR             | -1657.42882     | 3330.85764      | 3331.34910758   | 3360.54105614  
F81+G           | -1705.35103     | 3418.70206      | 3418.83674013   | 3433.54376807  
HKY             | -1706.33257     | 3420.66514      | 3420.79982013   | 3435.50684807  
F81+I+G         | -1705.26991     | 3420.53982      | 3420.7425227    | 3439.09195509  
SYM+G           | -1706.97563     | 3425.95126      | 3426.23600576   | 3448.2138221   
SYM+I+G         | -1706.47589     | 3426.95178      | 3427.33273238   | 3452.92476912  
F81+I           | -1715.08417     | 3438.16834      | 3438.30302013   | 3453.01004807  
SYM+I           | -1715.06954     | 3442.13908      | 3442.42382576   | 3464.4016421   
SYM             | -1745.49851     | 3500.99702      | 3501.1997227    | 3519.54915509  
F81             | -1757.8126      | 3521.6252       | 3521.70573691   | 3532.75648105  
K80+G           | -1824.03646     | 3652.07292      | 3652.11305378   | 3659.49377403  
K80+I+G         | -1824.03376     | 3654.06752      | 3654.14805691   | 3665.19880105  
JC+G            | -1831.24436     | 3664.48872      | 3664.50205333   | 3668.19914702  
JC+I+G          | -1831.25625     | 3666.5125       | 3666.55263378   | 3673.93335403  
K80+I           | -1834.6057      | 3673.2114       | 3673.25153378   | 3680.63225403  
JC+I            | -1841.21739     | 3684.43478      | 3684.44811333   | 3688.14520702  
K80             | -1867.08315     | 3736.1663       | 3736.17963333   | 3739.87672702  
JC              | -1872.96696     | 3745.93392      | 3745.93392      | 3745.93392     
