Model selection results for subset: c710f49533a777fcc34de633b049ec7a
Subset alignment stored here: ./analysis/phylofiles/c710f49533a777fcc34de633b049ec7a.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_WG_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -807.41564      | 1632.83128      | 1633.42928664   | 1666.48941621  
GTR+I+G         | -807.24671      | 1634.49342      | 1635.22675333   | 1671.89134912  
GTR+G           | -811.59687      | 1641.19374      | 1641.79174664   | 1674.85187621  
F81+I           | -828.03116      | 1664.06232      | 1664.19303895   | 1679.02149165  
F81+I+G         | -827.09492      | 1664.18984      | 1664.38656131   | 1682.88880456  
HKY+I           | -828.0151       | 1666.0302       | 1666.22692131   | 1684.72916456  
HKY+I+G         | -827.0652       | 1666.1304       | 1666.40671579   | 1688.56915747  
F81+G           | -835.06944      | 1678.13888      | 1678.26959895   | 1693.09805165  
HKY+G           | -835.06868      | 1680.13736      | 1680.33408131   | 1698.83632456  
SYM+I           | -844.83961      | 1701.67922      | 1701.95553579   | 1724.11797747  
SYM+I+G         | -842.54717      | 1699.09434      | 1699.46397696   | 1725.27289039  
SYM+G           | -847.09617      | 1706.19234      | 1706.46865579   | 1728.63109747  
JC+I            | -890.35576      | 1782.71152      | 1782.72446498   | 1786.45131291  
JC+I+G          | -889.3319       | 1782.6638       | 1782.70276104   | 1790.14338582  
K80+I           | -889.35906      | 1782.71812      | 1782.75708104   | 1790.19770582  
K80+I+G         | -888.39547      | 1782.79094      | 1782.8691159    | 1794.01031874  
GTR             | -875.85315      | 1767.7063       | 1768.18312119   | 1797.6246433   
JC+G            | -896.04052      | 1794.08104      | 1794.09398498   | 1797.82083291  
K80+G           | -894.99918      | 1793.99836      | 1794.03732104   | 1801.47794582  
F81             | -904.43992      | 1814.87984      | 1814.9580159    | 1826.09921874  
HKY             | -904.12902      | 1816.25804      | 1816.38875895   | 1831.21721165  
SYM             | -905.41437      | 1820.82874      | 1821.02546131   | 1839.52770456  
JC              | -957.14854      | 1914.29708      | 1914.29708      | 1914.29708     
K80             | -956.05472      | 1914.10944      | 1914.12238498   | 1917.84923291  
