Model selection results for subset: c8128ff0d66bd6801a87a9df55806725
Subset alignment stored here: ./analysis/phylofiles/c8128ff0d66bd6801a87a9df55806725.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_COI_p3, alineamiento_16S_p1, alineamiento_16S_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -2099.26596     | 4218.53192      | 4218.85592589   | 4263.89883598  
GTR+G           | -2104.02288     | 4226.04576      | 4226.31046588   | 4266.87598438  
GTR+I           | -2105.47453     | 4228.94906      | 4229.21376588   | 4269.77928438  
HKY+I+G         | -2143.0511      | 4298.1022       | 4298.22518682   | 4325.32234959  
F81+I+G         | -2147.27715     | 4304.5543       | 4304.6420193    | 4327.23775799  
HKY+G           | -2149.46466     | 4308.92932      | 4309.0170393    | 4331.61277799  
HKY+I           | -2149.68258     | 4309.36516      | 4309.4528793    | 4332.04861799  
F81+G           | -2153.1386      | 4314.2772       | 4314.33559416   | 4332.42396639  
F81+I           | -2153.16453     | 4314.32906      | 4314.38745416   | 4332.47582639  
SYM+I+G         | -2214.28646     | 4442.57292      | 4442.73714287   | 4474.32976118  
SYM+G           | -2219.02403     | 4450.04806      | 4450.17104682   | 4477.26820959  
SYM+I           | -2221.70987     | 4455.41974      | 4455.54272682   | 4482.63988959  
GTR             | -2234.68245     | 4485.3649       | 4485.57635374   | 4521.65843278  
F81             | -2304.15906     | 4614.31812      | 4614.35310542   | 4627.92819479  
HKY             | -2303.82962     | 4615.65924      | 4615.71763416   | 4633.80600639  
JC+I+G          | -2336.31944     | 4676.63888      | 4676.65634725   | 4685.7122632   
JC+G            | -2341.87148     | 4685.74296      | 4685.74877395   | 4690.2796516   
K80+I+G         | -2335.55524     | 4677.11048      | 4677.14546542   | 4690.72055479  
JC+I            | -2342.12154     | 4686.24308      | 4686.24889395   | 4690.7797716   
K80+G           | -2340.78509     | 4685.57018      | 4685.58764725   | 4694.6435632   
K80+I           | -2341.01326     | 4686.02652      | 4686.04398725   | 4695.0999032   
SYM             | -2341.32618     | 4692.65236      | 4692.7400793    | 4715.33581799  
JC              | -2476.63166     | 4953.26332      | 4953.26332      | 4953.26332     
K80             | -2475.29055     | 4952.5811       | 4952.58691395   | 4957.1177916   
