Model selection results for subset: c83c45ab0e2cb210b456c092fba3ceb9
Subset alignment stored here: ./analysis/phylofiles/c83c45ab0e2cb210b456c092fba3ceb9.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_16S_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1165.87142     | 2349.74284      | 2350.26457913   | 2384.59190011  
GTR+I           | -1167.88107     | 2353.76214      | 2354.28387913   | 2388.61120011  
GTR+I+G         | -1165.72028     | 2351.44056      | 2352.08009488   | 2390.16173789  
F81+G           | -1193.39712     | 2394.79424      | 2394.90852571   | 2410.28271116  
HKY+G           | -1191.76099     | 2393.52198      | 2393.69389977   | 2412.88256895  
F81+I+G         | -1191.94151     | 2393.88302      | 2394.05493977   | 2413.24360895  
F81+I           | -1195.92762     | 2399.85524      | 2399.96952571   | 2415.34371116  
HKY+I+G         | -1190.33639     | 2392.67278      | 2392.91415931   | 2415.90548674  
HKY+I           | -1194.83076     | 2399.66152      | 2399.83343977   | 2419.02210895  
SYM+G           | -1262.9576      | 2537.9152       | 2538.15657931   | 2561.14790674  
SYM+I+G         | -1260.90086     | 2535.80172      | 2536.12448657   | 2562.90654453  
SYM+I           | -1266.60908     | 2545.21816      | 2545.45953931   | 2568.45086674  
GTR             | -1263.85562     | 2543.71124      | 2544.12742497   | 2574.68818232  
F81             | -1297.87302     | 2601.74604      | 2601.81441607   | 2613.36239337  
HKY             | -1297.82329     | 2603.64658      | 2603.76086571   | 2619.13505116  
K80+G           | -1344.16896     | 2692.33792      | 2692.37201091   | 2700.08215558  
JC+G            | -1347.28534     | 2696.57068      | 2696.58201144   | 2700.44279779  
JC+I+G          | -1345.32259     | 2694.64518      | 2694.67927091   | 2702.38941558  
K80+I+G         | -1342.50489     | 2691.00978      | 2691.07815607   | 2702.62613337  
K80+I           | -1346.15268     | 2696.30536      | 2696.33945091   | 2704.04959558  
JC+I            | -1349.43648     | 2700.87296      | 2700.88429144   | 2704.74507779  
SYM             | -1347.55211     | 2705.10422      | 2705.27613977   | 2724.46480895  
K80             | -1432.51099     | 2867.02198      | 2867.03331144   | 2870.89409779  
JC              | -1435.99889     | 2871.99778      | 2871.99778      | 2871.99778     
