Model selection results for subset: d1ce9d764a8653f447112704a45f9294
Subset alignment stored here: ./analysis/phylofiles/d1ce9d764a8653f447112704a45f9294.phy
This subset contains the following data_blocks: (alineamiento_CYTB_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
F81+I           | -296.49854      | 600.99708       | 601.284849784   | 612.876333198  
F81+G           | -296.68602      | 601.37204       | 601.659809784   | 613.251293198  
F81             | -300.60445      | 607.2089        | 607.380328571   | 616.118339899  
HKY+I           | -296.39687      | 602.79374       | 603.228522609   | 617.642806498  
F81+I+G         | -296.48294      | 602.96588       | 603.400662609   | 617.814946498  
HKY+G           | -296.57032      | 603.14064       | 603.575422609   | 617.989706498  
HKY             | -300.44977      | 608.89954       | 609.187309784   | 620.778793198  
HKY+I+G         | -296.37073      | 604.74146       | 605.354598686   | 622.560339797  
GTR+I           | -291.81217      | 601.62434       | 602.967623582   | 628.352659696  
GTR+G           | -291.93902      | 601.87804       | 603.221323582   | 628.606359696  
GTR             | -295.92976      | 607.85952       | 608.926186667   | 631.618026397  
GTR+I+G         | -291.69958      | 603.39916       | 605.053295338   | 633.097292996  
JC+I            | -319.32324      | 640.64648       | 640.674649014   | 643.6162933    
JC+G            | -319.56885      | 641.1377        | 641.165869014   | 644.1075133    
JC              | -323.55303      | 647.10606       | 647.10606       | 647.10606      
K80+I           | -319.03449      | 642.06898       | 642.154086383   | 648.008606599  
JC+I+G          | -319.2863       | 642.5726        | 642.657706383   | 648.512226599  
K80+G           | -319.29575      | 642.5915        | 642.676606383   | 648.531126599  
K80             | -323.31485      | 648.6297        | 648.657869014   | 651.5995133    
K80+I+G         | -318.9907       | 643.9814        | 644.152828571   | 652.890839899  
SYM+I           | -312.2981       | 636.5962        | 637.209338686   | 654.415079797  
SYM+G           | -312.5571       | 637.1142        | 637.727338686   | 654.933079797  
SYM             | -316.7023       | 643.4046        | 643.839382609   | 658.253666498  
SYM+I+G         | -312.16978      | 638.33956       | 639.163089412   | 659.128253097  
