Model selection results for subset: d3f3fd060c0a7f8e074f0194a5a66ed4
Subset alignment stored here: ./analysis/phylofiles/d3f3fd060c0a7f8e074f0194a5a66ed4.phy
This subset contains the following data_blocks: (alineamiento_COI_p2, alineamiento_COI_p3, alineamiento_CYTB_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -1194.89267     | 2407.78534      | 2408.18712571   | 2444.92716266  
HKY+I           | -1207.98364     | 2425.96728      | 2426.10002336   | 2446.60162592  
GTR+I+G         | -1194.34781     | 2408.69562      | 2409.18779002   | 2449.96431184  
GTR+G           | -1197.6362      | 2413.2724       | 2413.67418571   | 2450.41422266  
HKY+I+G         | -1207.23515     | 2426.4703       | 2426.65655277   | 2451.2315151   
HKY+G           | -1212.46596     | 2434.93192      | 2435.06466336   | 2455.56626592  
SYM+I           | -1225.37852     | 2462.75704      | 2462.94329277   | 2487.5182551   
SYM+I+G         | -1223.52344     | 2461.04688      | 2461.29576889   | 2489.93496429  
SYM+G           | -1227.68588     | 2467.37176      | 2467.55801277   | 2492.1329751   
F81+I           | -1238.69877     | 2485.39754      | 2485.48584022   | 2501.90501674  
F81+I+G         | -1236.82807     | 2483.65614      | 2483.78888336   | 2504.29048592  
F81+G           | -1243.59436     | 2495.18872      | 2495.27702022   | 2511.69619674  
K80+I           | -1250.61789     | 2505.23578      | 2505.26215363   | 2513.48951837  
K80+I+G         | -1249.05102     | 2504.10204      | 2504.15490344   | 2516.48264755  
K80+G           | -1255.03479     | 2514.06958      | 2514.09595363   | 2522.32331837  
JC+I            | -1277.5991      | 2557.1982       | 2557.20697193   | 2561.32506918  
JC+I+G          | -1275.88434     | 2555.76868      | 2555.79505363   | 2564.02241837  
JC+G            | -1281.93314     | 2565.86628      | 2565.87505193   | 2569.99314918  
GTR             | -1272.59773     | 2561.19546      | 2561.51617269   | 2594.21041347  
HKY             | -1288.14879     | 2584.29758      | 2584.38588022   | 2600.80505674  
SYM             | -1298.65595     | 2607.3119       | 2607.44464336   | 2627.94624592  
F81             | -1316.15885     | 2638.3177       | 2638.37056344   | 2650.69830755  
K80             | -1324.6994      | 2651.3988       | 2651.40757193   | 2655.52566918  
JC              | -1350.41866     | 2700.83732      | 2700.83732      | 2700.83732     
