Model selection results for subset: d811a0ca2545351ea4152d377808fe4a
Subset alignment stored here: ./analysis/phylofiles/d811a0ca2545351ea4152d377808fe4a.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_CYTB_p1, alineamiento_16S_p1, alineamiento_16S_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -2532.0149      | 5082.0298       | 5082.29926108   | 5122.70212559  
GTR+I+G         | -2532.01806     | 5084.03612      | 5084.36595508   | 5129.22759288  
GTR+I           | -2539.48387     | 5096.96774      | 5097.23720108   | 5137.64006559  
HKY+G           | -2557.75131     | 5125.50262      | 5125.59190571   | 5148.09835644  
HKY+I+G         | -2557.69826     | 5127.39652      | 5127.52170629   | 5154.51140373  
HKY+I           | -2572.92198     | 5155.84396      | 5155.93324571   | 5178.43969644  
F81+G           | -2613.3329      | 5234.6658       | 5234.72523536   | 5252.74238915  
F81+I+G         | -2613.28332     | 5236.56664      | 5236.65592571   | 5259.16237644  
F81+I           | -2621.40288     | 5250.80576      | 5250.86519536   | 5268.88234915  
GTR             | -2739.52779     | 5495.05558      | 5495.27082664   | 5531.2087583   
HKY             | -2774.96302     | 5557.92604      | 5557.98547536   | 5576.00262915  
SYM+G           | -2781.6575      | 5575.315        | 5575.44018629   | 5602.42988373  
SYM+I+G         | -2779.01936     | 5572.03872      | 5572.20588418   | 5603.67275102  
SYM+I           | -2789.30044     | 5590.60088      | 5590.72606629   | 5617.71576373  
F81             | -2800.60277     | 5607.20554      | 5607.24114831   | 5620.76298186  
K80+G           | -2893.1964      | 5790.3928       | 5790.41057778   | 5799.43109458  
JC+G            | -2896.8236      | 5795.6472       | 5795.65311716   | 5800.16634729  
K80+I+G         | -2892.31537     | 5790.63074      | 5790.66634831   | 5804.18818186  
JC+I+G          | -2896.15673     | 5796.31346      | 5796.33123778   | 5805.35175458  
JC+I            | -2905.00962     | 5812.01924      | 5812.02515716   | 5816.53838729  
K80+I           | -2901.95834     | 5807.91668      | 5807.93445778   | 5816.95497458  
SYM             | -2938.25579     | 5886.51158      | 5886.60086571   | 5909.10731644  
JC              | -3058.48092     | 6116.96184      | 6116.96184      | 6116.96184     
K80             | -3056.63971     | 6115.27942      | 6115.28533716   | 6119.79856729  
