Model selection results for subset: da10df395c9482d125c31293725eea20
Subset alignment stored here: ./analysis/phylofiles/da10df395c9482d125c31293725eea20.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_COI_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I           | -888.99595      | 1795.9919       | 1796.54745556   | 1830.29216894  
GTR+I+G         | -887.82959      | 1795.65918      | 1796.34029455   | 1833.77058993  
GTR+G           | -892.9069       | 1803.8138       | 1804.36935556   | 1838.11406894  
F81+I           | -913.11099      | 1834.22198      | 1834.34356055   | 1849.46654397  
HKY+I           | -910.37478      | 1830.74956      | 1830.93248683   | 1849.80526496  
HKY+I+G         | -908.48904      | 1828.97808      | 1829.23496073   | 1851.84492596  
F81+I+G         | -911.45173      | 1832.90346      | 1833.08638683   | 1851.95916496  
F81+G           | -919.47663      | 1846.95326      | 1847.07484055   | 1862.19782397  
HKY+G           | -917.08868      | 1844.17736      | 1844.36028683   | 1863.23306496  
SYM+I           | -932.64188      | 1877.28376      | 1877.54064073   | 1900.15060596  
SYM+I+G         | -930.97204      | 1875.94408      | 1876.28763828   | 1902.62206695  
SYM+G           | -935.15996      | 1882.31992      | 1882.57680073   | 1905.18676596  
JC+I            | -971.88154      | 1945.76308      | 1945.77512819   | 1949.57422099  
JC+I+G          | -970.4644       | 1944.9288       | 1944.96505378   | 1952.55108199  
K80+I           | -971.88128      | 1947.76256      | 1947.79881378   | 1955.38484199  
K80+I+G         | -970.45713      | 1946.91426      | 1946.98698727   | 1958.34768298  
JC+G            | -977.95925      | 1957.9185       | 1957.93054819   | 1961.72964099  
GTR             | -960.33935      | 1936.6787       | 1937.12177692   | 1967.16782794  
K80+G           | -977.95909      | 1959.91818      | 1959.95443378   | 1967.54046199  
F81             | -992.45557      | 1990.91114      | 1990.98386727   | 2002.34456298  
HKY             | -992.32852      | 1992.65704      | 1992.77862055   | 2007.90160397  
SYM             | -999.11636      | 2008.23272      | 2008.41564683   | 2027.28842496  
JC              | -1045.87167     | 2091.74334      | 2091.74334      | 2091.74334     
K80             | -1045.85711     | 2093.71422      | 2093.72626819   | 2097.52536099  
