Model selection results for subset: df2fe2fb42fb6eefe84357a61e47f1f9
Subset alignment stored here: ./analysis/phylofiles/df2fe2fb42fb6eefe84357a61e47f1f9.phy
This subset contains the following data_blocks: (alineamiento_WG_p1, alineamiento_COI_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
HKY+I           | -620.21196      | 1250.42392      | 1250.63371021   | 1268.80768901  
HKY+I+G         | -619.05002      | 1250.10004      | 1250.39477684   | 1272.16056281  
HKY+G           | -626.15391      | 1262.30782      | 1262.51761021   | 1280.69158901  
GTR+I           | -616.7089       | 1251.4178       | 1252.05609787   | 1284.50858422  
K80+I           | -637.93414      | 1279.86828      | 1279.90980249   | 1287.2217876   
GTR+I+G         | -615.56731      | 1251.13462      | 1251.91753815   | 1287.90215802  
K80+I+G         | -636.86768      | 1279.73536      | 1279.81869333   | 1290.76562141  
GTR+G           | -622.20138      | 1262.40276      | 1263.04105787   | 1295.49354422  
K80+G           | -643.80811      | 1291.61622      | 1291.65774249   | 1298.9697276   
F81+I           | -639.67804      | 1287.35608      | 1287.49545282   | 1302.06309521  
SYM+I           | -635.89218      | 1283.78436      | 1284.07909684   | 1305.84488281  
F81+I+G         | -639.26987      | 1288.53974      | 1288.74953021   | 1306.92350901  
SYM+I+G         | -634.73898      | 1283.47796      | 1283.8723262    | 1309.21523662  
HKY             | -644.05376      | 1296.10752      | 1296.24689282   | 1310.81453521  
F81+G           | -644.50517      | 1297.01034      | 1297.14971282   | 1311.71735521  
SYM+G           | -641.44815      | 1294.8963       | 1295.19103684   | 1316.95682281  
GTR             | -639.50957      | 1295.01914      | 1295.52797392   | 1324.43317042  
JC+I            | -659.76441      | 1321.52882      | 1321.5426131    | 1325.2055738   
K80             | -661.05794      | 1324.11588      | 1324.1296731    | 1327.7926338   
JC+I+G          | -659.51732      | 1323.03464      | 1323.07616249   | 1330.3881476   
JC+G            | -664.53331      | 1331.06662      | 1331.0804131    | 1334.7433738   
F81             | -661.29955      | 1328.5991       | 1328.68243333   | 1339.62936141  
SYM             | -658.52772      | 1327.05544      | 1327.26523021   | 1345.43920901  
JC              | -681.24654      | 1362.49308      | 1362.49308      | 1362.49308     
