Model selection results for subset: e049eea8d1618f4978d80f36dea16af9
Subset alignment stored here: ./analysis/phylofiles/e049eea8d1618f4978d80f36dea16af9.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_CYTB_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
F81+G           | -966.96062      | 1941.92124      | 1942.04782228   | 1957.00700449  
F81+I           | -967.21615      | 1942.4323       | 1942.55888228   | 1957.51806449  
HKY+G           | -964.55749      | 1939.11498      | 1939.30545619   | 1957.97218562  
HKY+I           | -964.92698      | 1939.85396      | 1940.04443619   | 1958.71116562  
GTR+I           | -954.22916      | 1926.45832      | 1927.03709814   | 1960.40129011  
GTR+G           | -954.24398      | 1926.48796      | 1927.06673814   | 1960.43093011  
F81+I+G         | -966.66101      | 1943.32202      | 1943.51249619   | 1962.17922562  
HKY+I+G         | -964.17958      | 1940.35916      | 1940.62667592   | 1962.98780674  
GTR+I+G         | -954.24441      | 1928.48882      | 1929.19849742   | 1966.20323123  
SYM+G           | -1018.80261     | 2049.60522      | 2049.87273592   | 2072.23386674  
SYM+I           | -1019.11938     | 2050.23876      | 2050.50627592   | 2072.86740674  
F81             | -1027.82035     | 2061.6407       | 2061.71640978   | 2072.95502337  
GTR             | -1014.05823     | 2044.11646      | 2044.57799846   | 2074.28798899  
HKY             | -1026.98584     | 2061.97168      | 2062.09826228   | 2077.05744449  
SYM+I+G         | -1018.78558     | 2051.57116      | 2051.92898748   | 2077.97124786  
JC+G            | -1058.55361     | 2119.10722      | 2119.11975918   | 2122.87866112  
JC+I            | -1058.86647     | 2119.73294      | 2119.74547918   | 2123.50438112  
JC+I+G          | -1058.26302     | 2120.52604      | 2120.56377585   | 2128.06892225  
K80+G           | -1058.37464     | 2120.74928      | 2120.78701585   | 2128.29216225  
K80+I           | -1058.68659     | 2121.37318      | 2121.41091585   | 2128.91606225  
K80+I+G         | -1058.09063     | 2122.18126      | 2122.25696978   | 2133.49558337  
SYM             | -1070.56776     | 2151.13552      | 2151.32599619   | 2169.99272562  
JC              | -1111.57031     | 2223.14062      | 2223.14062      | 2223.14062     
K80             | -1111.33746     | 2224.67492      | 2224.68745918   | 2228.44636112  
