Model selection results for subset: e108d74407f4975d02f5e564407312e0
Subset alignment stored here: ./analysis/phylofiles/e108d74407f4975d02f5e564407312e0.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_WG_p3, alineamiento_16S_p1, alineamiento_16S_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -2013.34102     | 4046.68204      | 4047.01740585   | 4091.70994046  
GTR+G           | -2017.20636     | 4052.41272      | 4052.6866926    | 4092.93783041  
GTR+I           | -2018.57483     | 4055.14966      | 4055.4236326    | 4095.67477041  
F81+I+G         | -2053.75737     | 4117.51474      | 4117.60551156   | 4140.02869023  
HKY+I+G         | -2052.9516      | 4117.9032       | 4118.03047273   | 4144.91994028  
F81+G           | -2059.61067     | 4127.22134      | 4127.28176296   | 4145.23250018  
F81+I           | -2059.72876     | 4127.45752      | 4127.51794296   | 4145.46868018  
HKY+G           | -2059.14336     | 4128.28672      | 4128.37749156   | 4150.80067023  
HKY+I           | -2059.30617     | 4128.61234      | 4128.70311156   | 4151.12629023  
SYM+I+G         | -2124.75016     | 4263.50032      | 4263.67027448   | 4295.01985032  
SYM+G           | -2129.60728     | 4271.21456      | 4271.34183273   | 4298.23130028  
SYM+I           | -2132.71638     | 4277.43276      | 4277.56003273   | 4304.44950028  
GTR             | -2143.80841     | 4303.61682      | 4303.83566498   | 4339.63914037  
F81             | -2203.74003     | 4413.48006      | 4413.5162591    | 4426.98843014  
HKY             | -2203.70295     | 4415.4059       | 4415.46632296   | 4433.41706018  
JC+I+G          | -2254.54262     | 4513.08524      | 4513.10331229   | 4522.09082009  
K80+I+G         | -2252.2505      | 4510.501        | 4510.5371991    | 4524.00937014  
SYM             | -2246.08278     | 4502.16556      | 4502.25633156   | 4524.67951023  
JC+G            | -2259.73559     | 4521.47118      | 4521.47719504   | 4525.97397005  
K80+G           | -2256.97656     | 4517.95312      | 4517.97119229   | 4526.95870009  
JC+I            | -2260.30817     | 4522.61634      | 4522.62235504   | 4527.11913005  
K80+I           | -2257.49907     | 4518.99814      | 4519.01621229   | 4528.00372009  
JC              | -2385.27084     | 4770.54168      | 4770.54168      | 4770.54168     
K80             | -2382.29835     | 4766.5967       | 4766.60271504   | 4771.09949005  
