Model selection results for subset: e4b4590ed637892872ae2f5491ad6298
Subset alignment stored here: ./analysis/phylofiles/e4b4590ed637892872ae2f5491ad6298.phy
This subset contains the following data_blocks: (alineamiento_COI_p2, alineamiento_CYTB_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -855.20059      | 1728.40118      | 1729.0197367    | 1761.76517238  
GTR+I           | -855.28851      | 1728.57702      | 1729.1955767    | 1761.94101238  
GTR+I+G         | -854.9918       | 1729.9836       | 1730.74222069   | 1767.05470265  
HKY+I           | -869.72594      | 1749.45188      | 1749.65526983   | 1767.98743132  
HKY+G           | -869.77171      | 1749.54342      | 1749.74680983   | 1768.07897132  
HKY+I+G         | -868.66846      | 1749.33692      | 1749.62263429   | 1771.57958159  
SYM+G           | -879.28762      | 1770.57524      | 1770.86095429   | 1792.81790159  
SYM+I           | -879.70573      | 1771.41146      | 1771.69717429   | 1793.65412159  
SYM+I+G         | -877.66942      | 1769.33884      | 1769.72109256   | 1795.28861185  
F81+I           | -893.07247      | 1794.14494      | 1794.28007514   | 1808.97338106  
F81+G           | -893.17169      | 1794.34338      | 1794.47851514   | 1809.17182106  
F81+I+G         | -891.28244      | 1792.56488      | 1792.76826983   | 1811.10043132  
K80+I           | -903.60488      | 1811.20976      | 1811.25002846   | 1818.62398053  
K80+G           | -903.66497      | 1811.32994      | 1811.37020846   | 1818.74416053  
K80+I+G         | -901.77427      | 1809.54854      | 1809.62934808   | 1820.66987079  
GTR             | -898.49615      | 1812.9923       | 1813.48545068   | 1842.64918212  
HKY             | -916.25636      | 1840.51272      | 1840.64785514   | 1855.34116106  
JC+I            | -925.1923       | 1852.3846       | 1852.39797793   | 1856.09171026  
JC+G            | -925.2459       | 1852.4918       | 1852.50517793   | 1856.19891026  
JC+I+G          | -923.28241      | 1850.56482      | 1850.60508846   | 1857.97904053  
SYM             | -921.78878      | 1853.57756      | 1853.78094983   | 1872.11311132  
F81             | -940.39751      | 1886.79502      | 1886.87582808   | 1897.91635079  
K80             | -948.72344      | 1899.44688      | 1899.46025793   | 1903.15399026  
JC              | -969.85718      | 1939.71436      | 1939.71436      | 1939.71436     
